"shift","45_Larva_Aug_2080","45_Adult_Aug_2080","45_Larva_Nov_2080","45_Adult_Nov_2080"
"0",2.77,3,3.72,3.96
"0.01",2.69,2.96,3.6,3.9
"0.02",2.6,2.91,3.49,3.82
"0.03",2.52,2.84,3.39,3.72
"0.04",2.44,2.78,3.3,3.62
"0.05",2.37,2.7,3.23,3.51
"0.1",2.15,2.36,3.05,3.16
"0.15",2.05,2.16,2.84,3.03
"0.2",1.98,2.07,2.48,2.81
