vicid,SumTreeFruit
318379,0.61251827
318377,6E-01
317453,5.19E-01
306296,0.50616459
321159,4.59E-01
321158,0.44616702516
304439,0.44366453
329521,0.4424133641
317454,4.24E-01
318376,0.41766352395
324890,4E-01
316549,0.398681625
314691,0.39262391879
305373,0.37591557029
322085,0.35571287758
317455,0.3395538045
324888,3.35E-01
342517,0.333267245
324889,3.26E-01
321157,0.32041932
321171,0.31903078758
326738,3.12E-01
317456,0.3110809752
331372,0.305953962
322099,0.30213928
329522,0.3021392443
322098,0.3011780285
315606,0.297988892
332301,0.29318234
325811,0.285644522
342518,0.285583544
323031,0.28465274353
310986,0.283584582
343445,0.275589007
324891,0.27503971637
317452,2.71E-01
320229,0.26939391637
314689,0.26939391
319307,2.68E-01
339726,0.263061517
305374,2.6E-01
318397,2.59E-01
325815,0.2591858203
320230,0.253784205
334152,0.253662131
341590,0.251907332
322084,0.2483367755
325814,2.44E-01
319301,0.24262998273
339727,0.24012755
319305,0.239532505
317469,2.33E-01
352730,0.23149109
325812,2.29E-01
318378,0.2278900369
322109,0.22720338079
306295,0.227111779
332302,0.2219543715
315605,2.21E-01
324887,0.220870934
323030,0.219116202
318380,0.2150268218
316548,0.21148678879
319325,2.07E-01
305368,0.204330392
323036,2.02E-01
319302,0.20137026828
324886,0.2013397625
321172,0.20056150516
330452,0.2000885325
314690,0.19636539116
336941,0.194381685
322100,0.19023134
322086,0.1885223591
317449,0.18794253437
330450,0.1835022129
336942,0.183441147
342516,0.179656974
319308,0.17950436698
320234,0.17874145037
342515,0.1763916
299776,0.17549136797
323029,0.175094631
325816,1.75E-01
312834,0.17358396
331373,0.16748046879
322101,1.67E-01
328593,1.65E-01
314674,0.160430907
299778,1.6E-01
320231,0.15829464758
330453,0.1582489
315604,0.1558990716
315608,0.15483093379
321170,0.15481571637
316526,0.154479978
320253,0.15107725758
319304,0.15048216229
330447,0.14987186854
327665,0.14944459216
316550,0.14904787
341591,0.148803696
275748,0.14799503088
316530,1.46E-01
337870,0.145889328
315607,0.14457702976
315602,0.14447022058
299775,0.14056400148
322087,0.139144872
334151,0.1383514516
315603,0.13714595658
297925,0.13616945558
314675,0.1360016221
319326,0.13494872079
319306,0.134780841
318375,1.34E-01
304446,1.33E-01
325813,0.131713899
303511,0.13121033
298847,0.13084411855
347160,0.129562375
321181,0.12937927
330454,1.28E-01
306297,0.126724214
296992,0.12571711927
344373,0.12501526
316528,1.25E-01
335079,0.1246185499
342514,0.124160773
322110,0.12153629
313764,0.121490489
317450,1.21E-01
317451,0.1209411655
316529,1.21E-01
299781,0.1198578373
333226,0.11978149
343446,0.1196747153
320235,0.11856081495
300704,0.1184539867
316527,1.18E-01
320228,0.11718754669
336013,0.11705017758
353658,0.116363529
297924,0.11587523837
301632,0.1151581142
321182,0.11430355
330451,0.11366268558
321160,0.1135864278
296994,0.11343381168
355514,0.113204925
341592,0.11036681
299782,1.1E-01
298845,1.1E-01
322108,0.109695427
319327,1.1E-01
299780,0.1085968497
297921,1.09E-01
