"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",9984.21794420124,10104.6032620871,6883.76399446159,NA,"warmer_total",9731.81531794284,10100.0120765937,10007.232215509,2289.98021243025,"warmer_total",9645.58702183464,10173.7785908924,9889.93472015907,3918.26055315961,"warmer_total",9612.46081298167,10094.5421008907,10004.7168378584,5165.31592290971
"warmer_escape",5588.25658971397,2766.24690310846,27.001327078901,NA,"warmer_escape",4161.02020677401,4614.16903300057,367.297477086221,0,"warmer_escape",3542.03989251032,5306.97336695644,632.972001599449,0,"warmer_escape",3228.54264224551,5496.62154631589,808.481188005809,0
"colder_total",9911.19821513883,10193.2728906016,2457.37765895519,NA,"colder_total",9414.49448060318,10253.6739370681,7910.42227843678,NA,"colder_total",9446.28037034998,10161.5496905354,9681.31549100547,NA,"colder_total",9517.20736056751,10304.2022029016,9975.03799954159,896.386035804422
"colder_escape",7065.3258710821,1727.61638286051,0,NA,"colder_escape",6020.75127443196,3755.16659618936,79.3869845023136,NA,"colder_escape",5579.81934471187,4604.36294678287,221.978885756364,NA,"colder_escape",5369.11992629522,4905.064036591,279.305290730726,0
