loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,19,Historical,bcc-csm1-1,1997,29may1997,09jun1997,23jun1997,375,525,821,1114,.0141687136091938,.1670000887723324,.8113175798291371,.1670000887723324,.98974150228169,.9755727886724962,2932,3022,0,14,14,34.131336,13.845224,4.6843705,1,,,
East Oroville,48.980461,-119.41203,20,Historical,bcc-csm1-1,1998,28may1998,11jun1998,25jun1998,371,521,804,1044,.0128857730218822,.1597656811991448,.7852146674979585,.1597656811991448,.9771816211961784,.9642958481742961,2624,2799,0,14,14,38.112942,14.663149,5.7752299,1,,,
East Oroville,48.980461,-119.41203,21,Historical,bcc-csm1-1,1999,04jun1999,13jun1999,27jun1999,380,526,855,1100,.0159104576369678,.1688351972932566,.8564979377267675,.1762801743775738,.9879082134639438,.9794427329112931,2668,2709,0,14,14,29.968277,14.305772,4.2866206,1,,,
East Oroville,48.980461,-119.41203,22,Historical,bcc-csm1-1,2000,22may2000,03jun2000,17jun2000,371,525,681,872,.0128857730218822,.1670000887723324,.5303645148665405,.1597656811991448,.8757337941175647,.8556136135224949,2233,2313,0,14,14,56.278435,21.74419,11.403902,1,,,
East Oroville,48.980461,-119.41203,23,Historical,bcc-csm1-1,2001,27may2001,04jun2001,18jun2001,371,519,769,1027,.0128857730218822,.1562127419008381,.7239601216618734,.1597656811991448,.9725362309807825,.9632033972572069,2461,2563,0,14,14,44.251335,14.751548,6.4143653,1,,,
East Oroville,48.980461,-119.41203,24,Historical,bcc-csm1-1,2002,12may2002,21may2002,04jun2002,378,515,710,948,.0151948384005804,.1492371182624762,.5993688602264686,.1725368800660678,.9381498660518492,.9462547894548604,3033,3118,0,14,14,31.831491,15.688233,4.9346266,1,,,
East Oroville,48.980461,-119.41203,25,Historical,bcc-csm1-1,2003,02may2003,16may2003,30may2003,379,518,791,1111,.0155494454805626,.1544524924564875,.7636398950555043,.1744033520426749,.9893716632174243,.9937730773230491,2998,3127,0,14,14,33.695774,13.264215,4.3959384,1,,,
East Oroville,48.980461,-119.41203,26,Historical,bcc-csm1-1,2004,02jun2004,15jun2004,29jun2004,377,519,726,1054,.0148465629584921,.1562127419008381,.6355251003218039,.1706808112511181,.9795720981043735,.9791936044961614,2471,2620,0,14,14,42.09306,14.784671,5.8272719,1,,,
East Oroville,48.980461,-119.41203,27,Historical,bcc-csm1-1,2005,19may2005,27may2005,10jun2005,378,525,699,885,.0151948384005804,.1670000887723324,.5736624223446402,.1725368800660678,.889027597886574,.879369550779729,2783,2906,0,14,14,40.953045,18.28896,7.3385596,1,,,
East Oroville,48.980461,-119.41203,28,Historical,bcc-csm1-1-m,1979,08may1979,18may1979,01jun1979,372,516,727,870,.0131975958148788,.1509646409972667,.6377316755563764,.1615582847413053,.8735815727476839,.8709776206768437,2638,2695,0,14,14,43.016109,18.055408,7.6478744,1,,,
