city,location,eggHatch_pest_color,lat,long
Lower Yakima LB,46.46875_-120.53125,Light Blue,46.46875,-120.53125
Lower Yakima DB,46.53125_-120.84375,Dark Blue,46.53125,-120.84375
Omak DB,48.40625_-119.59375,Dark Blue,48.4062,-119.59375
Richland DR,46.28125_-119.34375,Dark Red,46.28125,-119.34375
Wapato LR,46.46875_-120.40625,Light Red,46.46875,-120.40625
Wenatchee LB,47.40625_-120.28125,Light Blue,47.40625,-120.28125
Ellensburg DB,46.90625_-120.46875,Dark Blue,46.90625,-120.46875
East Oroville DB,48.96875_-119.40625,Dark Blue,48.96875,-119.40625
