stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,671.618551,0,1224
Egg,2,7.870788,1941.74002,1224,2444
Egg,3,10.76041,3200.03909,2444,3687
Egg,4,15.43351,4424.06865,3687,4908
Larva,1,4.42486,839.52333,241,1303
Larva,2,8.498947,2107.1562,1303,2614
Larva,3,11.51428,3360.959,2614,3891
Larva,4,16.0801,4593.67826,3891,5032
Pupa,1,1.270507,244.108702,0,783
Pupa,2,6.387198,1529.45613,783,2049
Pupa,3,9.777329,2786.48282,2049,3303
Pupa,4,14.28125,4008.70777,3303,4591
Adult,1,2.877741,561.242411,0,1054
Adult,2,7.458859,1834.03746,1054,2342
Adult,3,10.43142,3092.55575,2342,3619
Adult,4,15.0675,4322.27825,3619,4908
