stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,630.013862,0,1148
Egg,2,7.870788,1821.45524,1148,2293
Egg,3,10.76041,3001.80658,2293,3459
Egg,4,15.43351,4150.0113,3459,4604
Larva,1,4.42486,787.51746,226,1222
Larva,2,8.498947,1976.6244,1222,2452
Larva,3,11.51428,3152.758,2452,3650
Larva,4,16.0801,4309.11412,3650,4720
Pupa,1,1.270507,228.986924,0,735
Pupa,2,6.387198,1434.71106,735,1922
Pupa,3,9.777329,2613.86884,1922,3098
Pupa,4,14.28125,3760.38074,3098,4307
Adult,1,2.877741,526.475182,0,989
Adult,2,7.458859,1720.42452,989,2197
Adult,3,10.43142,2900.9815,2197,3395
Adult,4,15.0675,4054.5265,3395,4604
