stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,701.336186,0,1278
Egg,2,7.870788,2027.65772,1278,2552
Egg,3,10.76041,3341.63374,2552,3850
Egg,4,15.43351,4619.8239,3850,5125
Larva,1,4.42486,876.67038,251,1361
Larva,2,8.498947,2200.3932,1361,2729
Larva,3,11.51428,3509.674,2729,4063
Larva,4,16.0801,4796.93836,4063,5255
Pupa,1,1.270507,254.909972,0,818
Pupa,2,6.387198,1597.13118,818,2139
Pupa,3,9.777329,2909.77852,2139,3449
Pupa,4,14.28125,4186.08422,3449,4794
Adult,1,2.877741,586.076146,0,1101
Adult,2,7.458859,1915.18956,1101,2446
Adult,3,10.43142,3229.3945,2446,3780
Adult,4,15.0675,4513.5295,3780,5125
