stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,647.844443,0,1180
Egg,2,7.870788,1873.00586,1180,2358
Egg,3,10.76041,3086.76337,2358,3557
Egg,4,15.43351,4267.46445,3557,4734
Larva,1,4.42486,809.80569,232,1257
Larva,2,8.498947,2032.5666,1257,2521
Larva,3,11.51428,3241.987,2521,3753
Larva,4,16.0801,4431.07018,3753,4854
Pupa,1,1.270507,235.467686,0,755
Pupa,2,6.387198,1475.31609,755,1976
Pupa,3,9.777329,2687.84626,1976,3186
Pupa,4,14.28125,3866.80661,3186,4429
Adult,1,2.877741,541.375423,0,1017
Adult,2,7.458859,1769.11578,1017,2260
Adult,3,10.43142,2983.08475,2260,3491
Adult,4,15.0675,4169.27725,3491,4734
