stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,683.505605,0,1245
Egg,2,7.870788,1976.1071,1245,2487
Egg,3,10.76041,3256.67695,2487,3752
Egg,4,15.43351,4502.37075,3752,4994
Larva,1,4.42486,854.38215,245,1326
Larva,2,8.498947,2144.451,1326,2660
Larva,3,11.51428,3420.445,2660,3959
Larva,4,16.0801,4674.9823,3959,5121
Pupa,1,1.270507,248.42921,0,797
Pupa,2,6.387198,1556.52615,797,2085
Pupa,3,9.777329,2835.8011,2085,3361
Pupa,4,14.28125,4079.65835,3361,4672
Adult,1,2.877741,571.175905,0,1073
Adult,2,7.458859,1866.4983,1073,2384
Adult,3,10.43142,3147.29125,2384,3683
Adult,4,15.0675,4398.77875,3683,4994
