stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,659.731497,0,1202
Egg,2,7.870788,1907.37294,1202,2401
Egg,3,10.76041,3143.40123,2401,3622
Egg,4,15.43351,4345.76655,3622,4821
Larva,1,4.42486,824.66451,236,1280
Larva,2,8.498947,2069.8614,1280,2567
Larva,3,11.51428,3301.473,2567,3822
Larva,4,16.0801,4512.37422,3822,4943
Pupa,1,1.270507,239.788194,0,769
Pupa,2,6.387198,1502.38611,769,2012
Pupa,3,9.777329,2737.16454,2012,3245
Pupa,4,14.28125,3937.75719,3245,4510
Adult,1,2.877741,551.308917,0,1036
Adult,2,7.458859,1801.57662,1036,2301
Adult,3,10.43142,3037.82025,2301,3555
Adult,4,15.0675,4245.77775,3555,4821
