stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,695.392659,0,1267
Egg,2,7.870788,2010.47418,1267,2531
Egg,3,10.76041,3313.31481,2531,3818
Egg,4,15.43351,4580.67285,3818,5081
Larva,1,4.42486,869.24097,249,1349
Larva,2,8.498947,2181.7458,1349,2706
Larva,3,11.51428,3479.931,2706,4028
Larva,4,16.0801,4756.28634,4028,5210
Pupa,1,1.270507,252.749718,0,811
Pupa,2,6.387198,1583.59617,811,2121
Pupa,3,9.777329,2885.11938,2121,3420
Pupa,4,14.28125,4150.60893,3420,4754
Adult,1,2.877741,581.109399,0,1092
Adult,2,7.458859,1898.95914,1092,2425
Adult,3,10.43142,3202.02675,2425,3748
Adult,4,15.0675,4475.27925,3748,5081
