stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,600.296227,0,1094
Egg,2,7.870788,1735.53754,1094,2185
Egg,3,10.76041,2860.21193,2185,3296
Egg,4,15.43351,3954.25605,3296,4386
Larva,1,4.42486,750.37041,215,1165
Larva,2,8.498947,1883.3874,1165,2336
Larva,3,11.51428,3004.043,2336,3477
Larva,4,16.0801,4105.85402,3477,4498
Pupa,1,1.270507,218.185654,0,700
Pupa,2,6.387198,1367.03601,700,1831
Pupa,3,9.777329,2490.57314,1831,2952
Pupa,4,14.28125,3583.00429,2952,4104
Adult,1,2.877741,501.641447,0,942
Adult,2,7.458859,1639.27242,942,2094
Adult,3,10.43142,2764.14275,2094,3235
Adult,4,15.0675,3863.27525,3235,4386
