stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,665.675024,0,1213
Egg,2,7.870788,1924.55648,1213,2423
Egg,3,10.76041,3171.72016,2423,3655
Egg,4,15.43351,4384.9176,3655,4864
Larva,1,4.42486,832.09392,239,1291
Larva,2,8.498947,2088.5088,1291,2591
Larva,3,11.51428,3331.216,2591,3856
Larva,4,16.0801,4553.02624,3856,4987
Pupa,1,1.270507,241.948448,0,776
Pupa,2,6.387198,1515.92112,776,2031
Pupa,3,9.777329,2761.82368,2031,3274
Pupa,4,14.28125,3973.23248,3274,4551
Adult,1,2.877741,556.275664,0,1045
Adult,2,7.458859,1817.80704,1045,2322
Adult,3,10.43142,3065.188,2322,3587
Adult,4,15.0675,4284.028,3587,4864
