stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,612.183281,0,1115
Egg,2,7.870788,1769.90462,1115,2228
Egg,3,10.76041,2916.84979,2228,3361
Egg,4,15.43351,4032.55815,3361,4473
Larva,1,4.42486,765.22923,219,1188
Larva,2,8.498947,1920.6822,1188,2382
Larva,3,11.51428,3063.529,2382,3546
Larva,4,16.0801,4187.15806,3546,4587
Pupa,1,1.270507,222.506162,0,714
Pupa,2,6.387198,1394.10603,714,1867
Pupa,3,9.777329,2539.89142,1867,3011
Pupa,4,14.28125,3653.95487,3011,4185
Adult,1,2.877741,511.574941,0,961
Adult,2,7.458859,1671.73326,961,2135
Adult,3,10.43142,2818.87825,2135,3299
Adult,4,15.0675,3939.77575,3299,4473
