stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,677.562078,0,1235
Egg,2,7.870788,1958.92356,1235,2466
Egg,3,10.76041,3228.35802,2466,3720
Egg,4,15.43351,4463.2197,3720,4951
Larva,1,4.42486,846.95274,243,1314
Larva,2,8.498947,2125.8036,1314,2637
Larva,3,11.51428,3390.702,2637,3925
Larva,4,16.0801,4634.33028,3925,5076
Pupa,1,1.270507,246.268956,0,790
Pupa,2,6.387198,1542.99114,790,2067
Pupa,3,9.777329,2811.14196,2067,3332
Pupa,4,14.28125,4044.18306,3332,4632
Adult,1,2.877741,566.209158,0,1064
Adult,2,7.458859,1850.26788,1064,2363
Adult,3,10.43142,3119.9235,2363,3651
Adult,4,15.0675,4360.5285,3651,4951
