stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,624.070335,0,1137
Egg,2,7.870788,1804.2717,1137,2271
Egg,3,10.76041,2973.48765,2271,3426
Egg,4,15.43351,4110.86025,3426,4560
Larva,1,4.42486,780.08805,224,1211
Larva,2,8.498947,1957.977,1211,2429
Larva,3,11.51428,3123.015,2429,3615
Larva,4,16.0801,4268.4621,3615,4676
Pupa,1,1.270507,226.82667,0,728
Pupa,2,6.387198,1421.17605,728,1904
Pupa,3,9.777329,2589.2097,1904,3069
Pupa,4,14.28125,3724.90545,3069,4266
Adult,1,2.877741,521.508435,0,980
Adult,2,7.458859,1704.1941,980,2177
Adult,3,10.43142,2873.61375,2177,3363
Adult,4,15.0675,4016.27625,3363,4560
