stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,689.449132,0,1256
Egg,2,7.870788,1993.29064,1256,2509
Egg,3,10.76041,3284.99588,2509,3785
Egg,4,15.43351,4541.5218,3785,5038
Larva,1,4.42486,861.81156,247,1337
Larva,2,8.498947,2163.0984,1337,2683
Larva,3,11.51428,3450.188,2683,3994
Larva,4,16.0801,4715.63432,3994,5165
Pupa,1,1.270507,250.589464,0,804
Pupa,2,6.387198,1570.06116,804,2103
Pupa,3,9.777329,2860.46024,2103,3391
Pupa,4,14.28125,4115.13364,3391,4713
Adult,1,2.877741,576.142652,0,1082
Adult,2,7.458859,1882.72872,1082,2405
Adult,3,10.43142,3174.659,2405,3715
Adult,4,15.0675,4437.029,3715,5038
