stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,641.900916,0,1170
Egg,2,7.870788,1855.82232,1170,2336
Egg,3,10.76041,3058.44444,2336,3524
Egg,4,15.43351,4228.3134,3524,4690
Larva,1,4.42486,802.37628,230,1245
Larva,2,8.498947,2013.9192,1245,2498
Larva,3,11.51428,3212.244,2498,3718
Larva,4,16.0801,4390.41816,3718,4809
Pupa,1,1.270507,233.307432,0,748
Pupa,2,6.387198,1461.78108,748,1958
Pupa,3,9.777329,2663.18712,1958,3157
Pupa,4,14.28125,3831.33132,3157,4388
Adult,1,2.877741,536.408676,0,1008
Adult,2,7.458859,1752.88536,1008,2239
Adult,3,10.43142,2955.717,2239,3459
Adult,4,15.0675,4131.027,3459,4690
