stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,713.22324,0,1300
Egg,2,7.870788,2062.0248,1300,2596
Egg,3,10.76041,3398.2716,2596,3916
Egg,4,15.43351,4698.126,3916,5212
Larva,1,4.42486,891.5292,256,1384
Larva,2,8.498947,2237.688,1384,2776
Larva,3,11.51428,3569.16,2776,4132
Larva,4,16.0801,4878.2424,4132,5344
Pupa,1,1.270507,259.23048,0,832
Pupa,2,6.387198,1624.2012,832,2176
Pupa,3,9.777329,2959.0968,2176,3508
Pupa,4,14.28125,4257.0348,3508,4876
Adult,1,2.877741,596.00964,0,1120
Adult,2,7.458859,1947.6504,1120,2488
Adult,3,10.43142,3284.13,2488,3844
Adult,4,15.0675,4590.03,3844,5212
