stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,618.126808,0,1126
Egg,2,7.870788,1787.08816,1126,2250
Egg,3,10.76041,2945.16872,2250,3394
Egg,4,15.43351,4071.7092,3394,4517
Larva,1,4.42486,772.65864,222,1199
Larva,2,8.498947,1939.3296,1199,2406
Larva,3,11.51428,3093.272,2406,3581
Larva,4,16.0801,4227.81008,3581,4631
Pupa,1,1.270507,224.666416,0,721
Pupa,2,6.387198,1407.64104,721,1886
Pupa,3,9.777329,2564.55056,1886,3040
Pupa,4,14.28125,3689.43016,3040,4226
Adult,1,2.877741,516.541688,0,970
Adult,2,7.458859,1687.96368,970,2156
Adult,3,10.43142,2846.246,2156,3331
Adult,4,15.0675,3978.026,3331,4517
