stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,606.239754,0,1105
Egg,2,7.870788,1752.72108,1105,2206
Egg,3,10.76041,2888.53086,2206,3328
Egg,4,15.43351,3993.4071,3328,4430
Larva,1,4.42486,757.79982,217,1176
Larva,2,8.498947,1902.0348,1176,2359
Larva,3,11.51428,3033.786,2359,3512
Larva,4,16.0801,4146.50604,3512,4542
Pupa,1,1.270507,220.345908,0,707
Pupa,2,6.387198,1380.57102,707,1849
Pupa,3,9.777329,2515.23228,1849,2981
Pupa,4,14.28125,3618.47958,2981,4144
Adult,1,2.877741,506.608194,0,952
Adult,2,7.458859,1655.50284,952,2114
Adult,3,10.43142,2791.5105,2114,3267
Adult,4,15.0675,3901.5255,3267,4430
