stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,653.78797,0,1191
Egg,2,7.870788,1890.1894,1191,2379
Egg,3,10.76041,3115.0823,2379,3589
Egg,4,15.43351,4306.6155,3589,4777
Larva,1,4.42486,817.2351,234,1268
Larva,2,8.498947,2051.214,1268,2544
Larva,3,11.51428,3271.73,2544,3787
Larva,4,16.0801,4471.7222,3787,4898
Pupa,1,1.270507,237.62794,0,762
Pupa,2,6.387198,1488.8511,762,1994
Pupa,3,9.777329,2712.5054,1994,3215
Pupa,4,14.28125,3902.2819,3215,4469
Adult,1,2.877741,546.34217,0,1026
Adult,2,7.458859,1785.3462,1026,2280
Adult,3,10.43142,3010.4525,2280,3523
Adult,4,15.0675,4207.5275,3523,4777
