stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,707.279713,0,1289
Egg,2,7.870788,2044.84126,1289,2574
Egg,3,10.76041,3369.95267,2574,3883
Egg,4,15.43351,4658.97495,3883,5168
Larva,1,4.42486,884.09979,253,1372
Larva,2,8.498947,2219.0406,1372,2752
Larva,3,11.51428,3539.417,2752,4097
Larva,4,16.0801,4837.59038,4097,5299
Pupa,1,1.270507,257.070226,0,825
Pupa,2,6.387198,1610.66619,825,2157
Pupa,3,9.777329,2934.43766,2157,3478
Pupa,4,14.28125,4221.55951,3478,4835
Adult,1,2.877741,591.042893,0,1110
Adult,2,7.458859,1931.41998,1110,2467
Adult,3,10.43142,3256.76225,2467,3812
Adult,4,15.0675,4551.77975,3812,5168
