,county,irrig07,irrig12,irrHarv07,irrHarv12,cropland07,cropland12,pasture07,pasture12,irrig12_a,,irrigRatio12,Irrigated Crop Intensity
2470,Tennessee\Grainger,437,432,416,0,39805,25816,21,0,432,432,0.016733808,0
2739,Texas\Sabine,16,221,16,77,7812,4603,0,144,77,77,0.016728221,1
1992,North Carolina\Wilson,2831,1442,2617,1442,81781,86438,214,0,1442,1442,0.016682478,1
1550,Missouri\Montgomery,3402,3227,3383,3227,167245,194016,19,0,3227,3227,0.016632649,1
2186,Oklahoma\Marshall,2254,692,0,0,37085,41751,0,0,692,692,0.016574453,0
712,Indiana\Greene,1259,2202,1259,0,119099,132916,0,0,2202,2202,0.016566854,0
71,Alaska\Fairbanks,1956,1017,0,0,63621,61394,0,0,1017,1017,0.016565137,0
2615,Texas\Foard,2443,1861,1873,1620,120515,98217,570,241,1620,1620,0.01649409,1
1562,Missouri\Pike,1401,3725,1345,3725,244984,226028,56,0,3725,3725,0.016480259,1
2515,Tennessee\Robertson,2094,2320,2094,2311,160059,140686,0,9,2311,2311,0.016426652,1
73,Alaska\Kenai Peninsula,30,73,0,73,5253,4459,0,0,73,73,0.016371384,1
2450,Tennessee\Carroll,660,1986,660,1986,121978,121429,0,0,1986,1986,0.016355236,1
1974,North Carolina\Rowan,1116,1068,1022,0,63782,65864,94,0,1068,1068,0.016215231,0
348,Florida\Nassau,270,112,242,79,4249,4877,28,33,79,79,0.016198483,1
2574,Texas\Cherokee,1147,1405,796,1098,76592,67789,351,307,1098,1098,0.016197318,1
1249,Michigan\Emmet,158,289,0,0,21693,17872,0,0,289,289,0.016170546,0
1039,Kentucky\Jefferson,152,176,136,0,15430,10955,16,0,176,176,0.016065723,0
2892,Virginia\Lunenburg,770,444,670,0,31597,27663,100,0,444,444,0.01605032,0
1932,North Carolina\Graham,20,23,20,23,1902,1436,0,0,23,23,0.016016713,1
1434,Mississippi\Lamar,316,209,0,209,15152,13158,0,0,209,209,0.015883873,1
1979,North Carolina\Stokes,422,493,401,489,35195,30799,21,4,489,489,0.015877139,1
775,Indiana\White,3369,4230,0,4230,301049,267726,0,0,4230,4230,0.015799736,1
2547,Texas\Bandera,606,585,517,537,21421,34113,89,48,537,537,0.015741799,1
1395,Minnesota\Wright,2657,3660,2531,3649,207283,231832,126,11,3649,3649,0.015739846,1
1096,Kentucky\Union,2327,2634,2327,2634,166923,167932,0,0,2634,2634,0.01568492,1
2533,Tennessee\Weakley,495,3197,0,0,204739,203832,0,0,3197,3197,0.015684485,0
980,Kansas\Wilson,569,2229,569,2229,184779,142355,0,0,2229,2229,0.015658038,1
1463,Mississippi\Stone,8,118,8,0,10903,7541,0,0,118,118,0.015647792,0
2644,Texas\Henderson,1328,1399,1070,1281,86495,81924,258,118,1281,1281,0.015636444,1
3100,Wisconsin\Waukesha,1388,1277,1383,1181,69445,75648,5,96,1181,1181,0.015611781,1
3085,Wisconsin\Richland,1515,1740,0,0,118363,111825,0,0,1740,1740,0.015560027,0
1952,North Carolina\Madison,237,159,198,159,17226,10226,39,0,159,159,0.015548602,1
2737,Texas\Runnels,3484,4505,2771,3854,264780,247945,713,651,3854,3854,0.01554377,1
