"location","ann_prec_mean","centroid","cluster","fips"
"48.53125_-122.03125",1555.26,1211.6,"least precip",53057
"48.53125_-122.09375",1799.49,2055.41,"lesser precip",53057
"48.53125_-122.15625",1825.91,2055.41,"lesser precip",53057
"48.53125_-122.21875",1369.48,1211.6,"least precip",53057
"48.53125_-122.28125",1208.97,1211.6,"least precip",53057
"48.53125_-122.34375",1062.15,1211.6,"least precip",53057
"48.53125_-122.40625",903.12,1211.6,"least precip",53057
"48.53125_-122.46875",827.53,1211.6,"least precip",53057
"48.53125_-122.59375",708.41,1211.6,"least precip",53057
"48.59375_-120.78125",1397.38,1211.6,"least precip",53057
"48.59375_-120.84375",1496.74,1211.6,"least precip",53057
"48.59375_-120.90625",1779.35,2055.41,"lesser precip",53057
"48.59375_-120.96875",1847.37,2055.41,"lesser precip",53057
"48.59375_-121.03125",1962.16,2055.41,"lesser precip",53057
"48.59375_-121.09375",2530.55,2759.57,"less precip",53057
"48.59375_-121.15625",2980.09,2759.57,"less precip",53057
"48.59375_-121.21875",2712.13,2759.57,"less precip",53057
"48.59375_-121.28125",2928,2759.57,"less precip",53057
"48.59375_-121.34375",2341.23,2055.41,"lesser precip",53057
"48.59375_-121.40625",2087.3,2055.41,"lesser precip",53057
"48.59375_-121.46875",2712.76,2759.57,"less precip",53057
"48.59375_-121.53125",3064.35,2759.57,"less precip",53057
"48.59375_-121.59375",3131.2,2759.57,"less precip",53057
"48.59375_-121.65625",2981.24,2759.57,"less precip",53057
"48.59375_-121.71875",2567.56,2759.57,"less precip",53057
"48.59375_-121.78125",3173.48,2759.57,"less precip",53057
"48.59375_-121.84375",3694.84,3701.32,"most precip",53057
"48.59375_-121.90625",2879.41,2759.57,"less precip",53057
"48.59375_-121.96875",2453.51,2759.57,"less precip",53057
"48.59375_-122.03125",2503.95,2759.57,"less precip",53057
"48.59375_-122.09375",2396.05,2055.41,"lesser precip",53057
"48.59375_-122.15625",3314.15,3701.32,"most precip",53057
"48.59375_-122.21875",1954.38,2055.41,"lesser precip",53057
"48.59375_-122.28125",1781.08,2055.41,"lesser precip",53057
"48.59375_-122.34375",1375.26,1211.6,"least precip",53057
"48.59375_-122.40625",1300.39,1211.6,"least precip",53057
"48.65625_-120.78125",1470.38,1211.6,"least precip",53073
"48.65625_-120.84375",1463.46,1211.6,"least precip",53057
"48.65625_-120.90625",1751.1,2055.41,"lesser precip",53073
"48.65625_-120.96875",1865.73,2055.41,"lesser precip",53073
"48.65625_-121.03125",2070.43,2055.41,"lesser precip",53073
"48.65625_-121.09375",2030.7,2055.41,"lesser precip",53073
"48.65625_-121.15625",2679.09,2759.57,"less precip",53073
"48.65625_-121.21875",2439.76,2759.57,"less precip",53073
"48.65625_-121.28125",2178.13,2055.41,"lesser precip",53073
"48.65625_-121.34375",2398.67,2055.41,"lesser precip",53073
"48.65625_-121.40625",2425.47,2759.57,"less precip",53073
"48.65625_-121.46875",2880.61,2759.57,"less precip",53073
"48.65625_-121.53125",3662.32,3701.32,"most precip",53073
"48.65625_-121.59375",3415.04,3701.32,"most precip",53073
"48.65625_-121.65625",2866.96,2759.57,"less precip",53073
"48.65625_-121.71875",2807.08,2759.57,"less precip",53073
"48.65625_-121.78125",3621.4,3701.32,"most precip",53073
"48.65625_-121.84375",3746.62,3701.32,"most precip",53073
"48.65625_-121.90625",3763.34,3701.32,"most precip",53073
"48.65625_-121.96875",4309.87,3701.32,"most precip",53073
"48.65625_-122.03125",3695.52,3701.32,"most precip",53073
"48.65625_-122.09375",2604.15,2759.57,"less precip",53073
"48.65625_-122.15625",2161.94,2055.41,"lesser precip",53073
"48.65625_-122.21875",2097.47,2055.41,"lesser precip",53073
"48.65625_-122.28125",2326.69,2055.41,"lesser precip",53073
