"location","ann_prec_mean","centroid","cluster","fips"
"48.15625_-121.53125",3360.95,3701.32,"most precip",53061
"48.15625_-121.59375",3639.79,3701.32,"most precip",53061
"48.15625_-121.65625",4187.14,3701.32,"most precip",53061
"48.15625_-121.71875",4150.13,3701.32,"most precip",53061
"48.15625_-121.78125",3398.02,3701.32,"most precip",53061
"48.15625_-121.84375",3269.88,3701.32,"most precip",53061
"48.15625_-121.90625",2820.57,2759.57,"less precip",53061
"48.15625_-121.96875",2593.38,2759.57,"less precip",53061
"48.15625_-122.03125",1564.79,1211.6,"least precip",53061
"48.15625_-122.09375",1356.6,1211.6,"least precip",53061
"48.15625_-122.15625",1187.01,1211.6,"least precip",53061
"48.15625_-122.21875",1126.68,1211.6,"least precip",53061
"48.15625_-122.28125",1058.37,1211.6,"least precip",53061
"48.15625_-122.34375",937.17,1211.6,"least precip",53061
"48.21875_-120.96875",1957.05,2055.41,"lesser precip",53061
