"location","cluster"
"47.90625_-121.96875","1"
"47.90625_-122.03125","1"
"47.90625_-122.09375","1"
"47.90625_-122.15625","1"
"47.90625_-122.21875","1"
"47.96875_-121.90625","1"
"47.96875_-121.96875","1"
"47.96875_-122.03125","1"
"47.96875_-122.09375","1"
"47.96875_-122.15625","1"
"47.96875_-122.21875","1"
"48.03125_-121.96875","1"
"48.03125_-122.03125","1"
"48.03125_-122.09375","1"
"48.03125_-122.15625","1"
"48.09375_-121.96875","1"
"48.09375_-122.03125","1"
"48.09375_-122.09375","1"
"48.09375_-122.15625","1"
"48.09375_-122.21875","1"
"48.15625_-122.03125","1"
"48.15625_-122.09375","1"
"48.15625_-122.15625","1"
"48.15625_-122.21875","1"
"48.15625_-122.28125","1"
"48.15625_-122.34375","1"
"48.21875_-122.03125","1"
"48.21875_-122.09375","1"
"48.21875_-122.15625","1"
"48.21875_-122.21875","1"
"48.21875_-122.28125","1"
"48.21875_-122.34375","1"
"48.28125_-121.96875","1"
"48.28125_-122.03125","1"
"48.28125_-122.15625","1"
"48.28125_-122.21875","1"
"48.28125_-122.28125","1"
"48.28125_-122.34375","1"
"48.34375_-122.15625","1"
"48.34375_-122.21875","1"
"48.34375_-122.28125","1"
"48.34375_-122.34375","1"
"48.40625_-122.21875","1"
"48.40625_-122.28125","1"
"48.40625_-122.34375","1"
"48.40625_-122.40625","1"
"48.40625_-122.46875","1"
"48.46875_-122.15625","1"
"48.46875_-122.21875","1"
"48.46875_-122.28125","1"
"48.46875_-122.34375","1"
"48.46875_-122.40625","1"
"48.53125_-121.90625","1"
"48.53125_-121.96875","1"
"48.53125_-122.03125","1"
"48.53125_-122.09375","1"
"48.53125_-122.15625","1"
"48.53125_-122.21875","1"
"48.53125_-122.28125","1"
"48.53125_-122.34375","1"
"48.59375_-122.28125","1"
"48.59375_-122.34375","1"
"48.65625_-122.40625","1"
"48.65625_-122.46875","1"
"48.71875_-122.15625","1"
"48.71875_-122.34375","1"
"48.71875_-122.40625","1"
"48.71875_-122.46875","1"
"48.78125_-121.03125","1"
