"future_fip","model","time_period","emission","top_1_fip","top_2_fip","top_3_fip"
41059,"bcc-csm1-1-m","F1","rcp45",53071,53005,53021
41059,"bcc-csm1-1-m","F2","rcp45",6099,6047,6077
41059,"bcc-csm1-1-m","F3","rcp45",6047,6031,6099
41059,"BNU-ESM","F1","rcp45",6047,6099,6039
41059,"BNU-ESM","F2","rcp45",6039,6047,6031
41059,"BNU-ESM","F3","rcp45",6031,6107,6039
41059,"CanESM2","F1","rcp45",6047,6099,6039
41059,"CanESM2","F2","rcp45",6031,6039,6107
41059,"CanESM2","F3","rcp45",6107,6039,6019
41059,"CNRM-CM5","F1","rcp45",53071,53005,6077
41059,"CNRM-CM5","F2","rcp45",6047,6031,6099
41059,"CNRM-CM5","F3","rcp45",6047,6099,6077
41059,"GFDL-ESM2G","F1","rcp45",53071,53005,53021
41059,"GFDL-ESM2G","F2","rcp45",6047,6099,6039
41059,"GFDL-ESM2G","F3","rcp45",6047,6099,6077
41059,"GFDL-ESM2M","F1","rcp45",53005,53071,53021
41059,"GFDL-ESM2M","F2","rcp45",53005,53071,53021
41059,"GFDL-ESM2M","F3","rcp45",53071,53005,53021
53005,"bcc-csm1-1-m","F1","rcp45",53005,53071,53021
53005,"bcc-csm1-1-m","F2","rcp45",53071,53005,53021
53005,"bcc-csm1-1-m","F3","rcp45",53005,53071,6047
53005,"BNU-ESM","F1","rcp45",6047,6099,6077
53005,"BNU-ESM","F2","rcp45",6047,6039,6031
53005,"BNU-ESM","F3","rcp45",6031,6039,6047
53005,"CanESM2","F1","rcp45",6047,6099,6077
53005,"CanESM2","F2","rcp45",6031,6047,6039
53005,"CanESM2","F3","rcp45",6039,6047,6031
53005,"CNRM-CM5","F1","rcp45",53071,53005,53021
53005,"CNRM-CM5","F2","rcp45",6047,6099,6031
53005,"CNRM-CM5","F3","rcp45",53071,6099,6047
53005,"GFDL-ESM2G","F1","rcp45",53005,53071,53021
53005,"GFDL-ESM2G","F2","rcp45",6047,6099,6077
53005,"GFDL-ESM2G","F3","rcp45",53071,53005,6077
53005,"GFDL-ESM2M","F1","rcp45",53005,53021,53071
53005,"GFDL-ESM2M","F2","rcp45",53005,53071,53021
53005,"GFDL-ESM2M","F3","rcp45",53005,53071,53021
53071,"bcc-csm1-1-m","F1","rcp45",53071,53005,53021
53071,"bcc-csm1-1-m","F2","rcp45",6099,6077,6047
53071,"bcc-csm1-1-m","F3","rcp45",6047,6099,6077
53071,"BNU-ESM","F1","rcp45",6047,6099,6077
53071,"BNU-ESM","F2","rcp45",6047,6039,6099
53071,"BNU-ESM","F3","rcp45",6039,6107,6019
53071,"CanESM2","F1","rcp45",6047,6099,6077
53071,"CanESM2","F2","rcp45",6039,6047,6031
53071,"CanESM2","F3","rcp45",6039,6107,6019
53071,"CNRM-CM5","F1","rcp45",53071,6077,6099
53071,"CNRM-CM5","F2","rcp45",6047,6099,6039
53071,"CNRM-CM5","F3","rcp45",6077,6099,6047
53071,"GFDL-ESM2G","F1","rcp45",53071,53005,53021
53071,"GFDL-ESM2G","F2","rcp45",6047,6099,6039
53071,"GFDL-ESM2G","F3","rcp45",6099,6077,6047
53071,"GFDL-ESM2M","F1","rcp45",53071,53005,53021
53071,"GFDL-ESM2M","F2","rcp45",53071,53005,53021
53071,"GFDL-ESM2M","F3","rcp45",53071,53005,6077
53021,"bcc-csm1-1-m","F1","rcp45",53005,53071,53021
53021,"bcc-csm1-1-m","F2","rcp45",53071,53005,53021
53021,"bcc-csm1-1-m","F3","rcp45",53005,53071,53021
53021,"BNU-ESM","F1","rcp45",6099,6047,6077
53021,"BNU-ESM","F2","rcp45",6047,6039,6099
53021,"BNU-ESM","F3","rcp45",6047,6031,6039
53021,"CanESM2","F1","rcp45",6099,6077,6047
53021,"CanESM2","F2","rcp45",6031,6047,6039
53021,"CanESM2","F3","rcp45",6039,6047,6107
53021,"CNRM-CM5","F1","rcp45",53071,53005,53021
53021,"CNRM-CM5","F2","rcp45",53071,6047,6099
53021,"CNRM-CM5","F3","rcp45",53071,6099,6077
53021,"GFDL-ESM2G","F1","rcp45",53005,53071,53021
53021,"GFDL-ESM2G","F2","rcp45",6047,6099,6077
53021,"GFDL-ESM2G","F3","rcp45",53071,53005,53021
53021,"GFDL-ESM2M","F1","rcp45",53005,53021,53071
53021,"GFDL-ESM2M","F2","rcp45",53005,53071,53021
53021,"GFDL-ESM2M","F3","rcp45",53005,53071,53021
53077,"bcc-csm1-1-m","F1","rcp45",53005,53021,53001
53077,"bcc-csm1-1-m","F2","rcp45",53071,53005,53021
53077,"bcc-csm1-1-m","F3","rcp45",53005,53071,53021
