,Date,Colony Size,Adult Drones,Adult Workers,Foragers,Capped Drone Brood,Capped Worker Brood,Drone Larvae,Worker Larvae,Drone Eggs,Worker Eggs,Free Mites,Drone Brood Mites,Worker Brood Mites,Mites/Drone Cell,Mites/Worker Cell,Mites Dying,Proportion Mites Dying,Colony Pollen (g),Pollen Pesticide Concentration,Colony Nectar,Nectar Pesticide Concentration,Dead Drone Larvae,Dead Worker Larvae,Dead Drone Adults,Dead Worker Adults,Dead Foragers,Queen Strength,Average Temperature (celsius),Rain
0,Initial,8000,0,5418,2400,0,8000,2000,10000,1000,5000,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,0.0,0.0
1,01/01/2001,8605,0,5775,2581,285,9385,2048,9666,667,3334,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,0.69,0.0
2,01/02/2001,9210,0,6132,2763,570,10770,2096,9332,334,1668,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,1.56,2.275
3,01/03/2001,9815,0,6489,2944,855,12155,2145,9000,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,2.84,2.525
4,01/04/2001,10420,0,6846,3126,1140,13540,1860,7000,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,1.65,1.0
5,01/05/2001,11024,0,7203,3307,1425,14925,1575,5000,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,0.955,0.0
6,01/06/2001,11628,0,7560,3488,1710,15976,1290,3334,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,-0.285,0.0
7,01/07/2001,12232,0,7917,3669,2000,17027,1000,1668,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,1.595,0.0
8,01/08/2001,12836,0,8274,3850,2333,18080,667,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,3.045,0.0
9,01/09/2001,13440,0,8631,4032,2666,17465,334,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,1.87,0.0
10,01/10/2001,14044,0,8988,4213,3000,16850,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,-2.38,0.0
11,01/11/2001,14647,0,9345,4394,3000,16235,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,0.24,0.65
12,01/12/2001,15250,0,9702,4575,3000,15620,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,1.305,0.0
13,01/13/2001,15858,0,10064,4757,3000,15000,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,1.615,3.1
14,01/14/2001,17846,0,11806,5353,3000,13000,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,0.955,0.0
15,01/15/2001,20119,285,13548,6035,2715,11000,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,4.23,0.0
16,01/16/2001,22392,570,15290,6532,2430,9000,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,6.145,0.0
17,01/17/2001,24664,855,17032,6777,2145,7000,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,7.38,0.525
18,01/18/2001,26936,1140,18774,7022,1860,5000,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,3.69,0.0
19,01/19/2001,28874,1425,20182,7267,1575,3334,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,5.2,0.0
20,01/20/2001,30812,1710,21590,7512,1290,1668,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,5.565,6.5
21,01/21/2001,32757,2000,23000,7757,1000,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,3.255,0.375
22,01/22/2001,33076,2333,22385,8358,667,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,6.265,0.0
23,01/23/2001,33395,2666,21770,8959,334,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,6.5,0.375
24,01/24/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,5.41,0.825
25,01/25/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,4.335,2.975
26,01/26/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,3.91,0.0
27,01/27/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,3.01,0.9
28,01/28/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,3.265,0.0
29,01/29/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,5.88,0.0
30,01/30/2001,33395,2666,21770,8959,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.0,6.505,0.0
31,01/31/2001,33146,2666,21155,9325,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1325.4,0.0,0,0,0,0,0,5.0,11.37,0.0
32,02/01/2001,32898,2666,20540,9692,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2711.6,0.0,0,0,0,0,0,5.0,10.96,0.0
33,02/02/2001,32898,2666,20540,9692,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2524.6,0.0,0,0,0,0,0,5.0,6.35,3.425
34,02/03/2001,32898,2666,20540,9692,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2337.3,0.0,0,0,0,0,0,5.0,8.515,1.25
35,02/04/2001,32898,2666,20540,9692,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2150.3,0.0,0,0,0,0,0,5.0,7.325,0.775
36,02/05/2001,32898,2666,20540,9692,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1963.1,0.0,0,0,0,0,0,5.0,11.805,1.775
37,02/06/2001,32651,2666,19925,9795,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,3367.1,0.0,0,0,0,0,0,5.0,9.05,0.0
38,02/07/2001,32405,2666,19310,9721,0,0,0,0,0,15,0,0,0,0.0,0.0,0,0.0,0.0,0.0,4760.2,0.0,0,0,0,0,0,5.0,12.75,0.0
39,02/08/2001,32405,2666,19310,9721,0,0,0,0,0,49,0,0,0,0.0,0.0,0,0.0,0.0,0.0,4575.0,0.0,0,0,0,0,0,5.0,13.1,4.325
40,02/09/2001,32160,2666,18695,9648,0,0,0,0,0,88,0,0,0,0.0,0.0,0,0.0,0.0,0.0,5957.4,0.0,0,0,0,0,0,5.0,8.99,0.0
41,02/10/2001,32146,2666,18080,9643,0,0,0,15,0,128,0,0,0,0.0,0.0,0,0.0,0.0,0.0,5773.3,0.0,0,0,0,0,0,5.0,9.33,0.25
42,02/11/2001,31903,2666,17465,9570,0,0,0,49,0,176,0,0,0,0.0,0.0,0,0.0,650.2,0.0,5708.7,0.0,0,0,0,0,0,5.0,11.21,0.0
43,02/12/2001,31661,2666,16850,9498,0,0,0,88,0,239,0,0,0,0.0,0.0,0,0.0,1294.9,0.0,5644.3,0.0,0,0,0,0,0,5.0,11.35,0.0
44,02/13/2001,31420,2666,16235,9426,0,0,0,143,0,289,0,0,0,0.0,0.0,0,0.0,1933.9,0.0,5580.1,0.0,0,0,0,0,0,5.0,9.645,0.0
45,02/14/2001,31180,2666,15620,9354,0,0,0,225,0,348,0,0,0,0.0,0.0,0,0.0,2567.3,0.0,5516.1,0.0,0,0,0,0,0,5.0,11.48,0.0
46,02/15/2001,31166,2666,15000,9349,0,15,0,312,0,393,0,0,0,0.0,0.0,0,0.0,2478.2,0.0,5336.1,0.0,0,0,0,0,0,5.0,10.28,0.95
47,02/16/2001,24366,2666,13000,7309,0,49,0,383,0,474,0,0,0,0.0,0.0,0,0.0,2975.7,0.0,5278.6,0.0,0,0,0,0,0,5.0,11.82,0.0
