"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",9845.13518283499,10160.3170290428,8694.26070923397,NA,"warmer_total",9485.38931135805,10262.7496322238,9956.98356237461,3907.59943899787,"warmer_total",9526.09763755196,10234.1370320529,9901.22720367823,5619.85778428931,"warmer_total",9526.89324825212,10373.4542476365,9886.381967655,6801.86111655654
"warmer_escape",3531.17170532022,2037.54821379057,28.9517975911692,NA,"warmer_escape",2356.91849936438,3352.68575089566,340.268938590843,0,"warmer_escape",2010.22032620317,3741.79327307533,558.228921454092,0,"warmer_escape",1814.68505869559,3907.50521112688,648.093835145924,0
"colder_total",10102.4847758999,10289.1912353451,1848.70849012147,NA,"colder_total",9742.17862972327,10219.4423073152,7435.51622151688,NA,"colder_total",9626.15884555133,10234.1798163025,9171.02095477061,NA,"colder_total",9694.13387257606,10213.3929574829,10095.6311150058,526.540566255419
"colder_escape",6463.39738554998,1323.17423550172,0,NA,"colder_escape",5485.86045603792,2988.46124468979,40.0249600115781,NA,"colder_escape",4939.20868318242,3851.80383845992,132.549386467656,NA,"colder_escape",4728.41954705513,4078.60185571019,188.855384885113,0
