"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",14825.6387271256,38284.8568765662,17061.0282085289,NA,"warmer_total",14138.7207444383,29917.9193931817,40851.8590177873,5119.75402371843,"warmer_total",14405.687814723,22843.7128089655,39911.1711839165,14143.6016868259,"warmer_total",14058.5244125183,16364.1263053177,32019.8010164265,20461.5716371691
"warmer_escape",6684.07613088999,10620.5989698922,308.133730556916,NA,"warmer_escape",4542.0634398018,12557.399020223,3778.49046238631,8.56085653565505e-16,"warmer_escape",3502.13424218149,10925.4338176408,6190.41450449103,117.666616393816,"warmer_escape",2349.42565446221,8343.05273339141,7119.31881653261,583.112489793733
"colder_total",14775.5471375848,46718.1375732151,4978.05583720326,NA,"colder_total",14798.9128724528,55565.1774404522,36109.3114931804,NA,"colder_total",14638.70777199,51548.3115410467,65364.6003401526,4659.83934691193,"colder_total",13988.1792589642,44178.898470285,83514.067740168,20181.1258255803
"colder_escape",10305.750269292,9270.42473472106,9.89717436129193e-16,NA,"colder_escape",9210.36052239587,22359.5982580007,1308.61920398484,NA,"colder_escape",8057.03738651743,25898.8192437424,5376.64712390788,-3.83109018214179e-15,"colder_escape",6313.29739715449,26096.1094563453,11619.1461587254,17.5581461310004
