"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",15827.8228416621,79353.5508242179,95500.6696989078,NA,"warmer_total",15559.0809583742,85587.3094187164,195709.54026898,64223.8822812101,"warmer_total",15845.2144055011,84135.3832234897,220326.068426534,109595.359238023,"warmer_total",15807.7976535062,82225.0398499322,230871.341421443,149199.816716272
"warmer_escape",13301.6387939811,57249.1831659658,23653.4615630626,NA,"warmer_escape",11960.4923322037,69130.2306718223,89655.8765689405,7769.31585860721,"warmer_escape",11689.5496590135,69966.030511956,114069.004083838,18609.7453927995,"warmer_escape",11382.9173378239,68998.8468034248,124009.973606345,27406.9681929655
"colder_total",15346.5285703882,69095.3947570785,21202.1854626902,NA,"colder_total",15744.2061304413,88098.6632405349,96024.752488718,NA,"colder_total",15495.4920034678,91885.556448326,147536.37651855,NA,"colder_total",15274.6999542037,93976.1012014231,172014.481296716,10059.7188096705
"colder_escape",14282.2342079235,42117.7802681341,2954.35994134045,NA,"colder_escape",14315.2285649234,67448.722505547,25146.9310678857,NA,"colder_escape",13821.3783072692,74753.7922153269,49091.7808911977,NA,"colder_escape",13478.5124694001,77924.6487342386,60388.6206227205,6.13427083918607e-14
