"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",9845.13518283499,10160.3170290428,8694.26070923397,NA,"warmer_total",9485.38931135805,10262.7496322238,9956.98356237461,3907.59943899787,"warmer_total",9526.09763755196,10234.1370320529,9901.22720367823,5619.85778428931,"warmer_total",9526.89324825212,10373.4542476365,9886.381967655,6801.86111655654
"warmer_escape",7242.77468290799,5906.92227399333,988.845245662814,NA,"warmer_escape",5922.10534205675,7324.75745380752,2737.33092006543,115.679045600995,"warmer_escape",5542.94745569378,7642.67047254633,3380.13909027649,283.105022163482,"warmer_escape",5306.92873550674,7841.03860113996,3602.24672134377,386.718664649496
"colder_total",10102.4847758999,10289.1912353451,1848.70849012147,NA,"colder_total",9742.17862972327,10219.4423073152,7435.51622151688,NA,"colder_total",9626.15884555133,10234.1798163025,9171.02095477061,NA,"colder_total",9694.13387257606,10213.3929574829,10095.6311150058,526.540566255419
"colder_escape",9011.31321340903,4616.63965524565,79.2760795342003,NA,"colder_escape",8245.79015715028,6725.04834922016,925.606341826887,NA,"colder_escape",7854.03604841273,7492.53884674508,1591.89044162536,NA,"colder_escape",7752.0982881048,7678.52196636505,1872.59986957847,0
