"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",15532.2531440071,67525.1277481469,60420.0342663392,NA,"warmer_total",14949.0330953406,66441.903885175,130334.270880459,30667.7596096826,"warmer_total",15211.9111970974,63300.7928736215,144321.55194686,54064.4079051801,"warmer_total",15224.5864943324,61113.9732599025,149265.721827039,73315.9010786814
"warmer_escape",11523.5571824652,38702.5785902535,7335.5234620056,NA,"warmer_escape",9512.11842381672,46017.6549172336,36694.5878275556,977.385917146601,"warmer_escape",9022.803204076,46103.3071791028,48892.3628334602,3104.66339469166,"warmer_escape",8670.15952980808,45201.5881637806,53421.6621988393,5011.64626933094
"colder_total",15229.494453285,63554.3446188743,13604.5982163014,NA,"colder_total",15412.6486359351,79374.7220709604,68848.2670505567,NA,"colder_total",15166.4309622324,81369.916554436,109009.206554958,NA,"colder_total",14954.6124236925,82600.6247828216,126828.971480949,5373.2670467901
"colder_escape",13574.9962997243,28754.4274780159,553.246580286819,NA,"colder_escape",13194.1419897358,50725.6210935115,9278.78658687006,NA,"colder_escape",12558.5848262072,57498.5665787759,20782.3984415402,NA,"colder_escape",12157.1408579573,60216.873205716,26552.5863785138,2.10490776318901e-14
