"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",15719.4559193347,75144.3919613337,79556.74661168,NA,"warmer_total",15292.4079520402,77922.7624593852,168736.993211798,48040.2156284998,"warmer_total",15563.9018519606,75556.7432859851,188623.865546093,83617.3510235017,"warmer_total",15548.6474095829,73437.3126160942,196569.225613902,113754.618253094
"warmer_escape",12700.9777403856,49826.2428596169,14287.5931307872,NA,"warmer_escape",10999.7108312037,59789.3924230175,62907.3912262989,3106.62736644588,"warmer_escape",10610.6262057394,60214.9122035151,81959.2155191157,8577.57215446443,"warmer_escape",10272.8992794811,59214.8799681133,89407.4373869025,13214.5141297499
"colder_total",15313.4527833709,67172.4371712659,17368.3084145405,NA,"colder_total",15624.9688115639,85247.7157723194,84078.8534896353,NA,"colder_total",15374.4977576196,88336.2548784099,131566.340128891,NA,"colder_total",15154.6956715678,90066.1308771513,153457.336699438,7780.79665811683
"colder_escape",14117.4324750157,36365.8823721919,1363.28983951435,NA,"colder_escape",13980.6173737716,61172.1976140184,16325.2629856308,NA,"colder_escape",13422.45954353,68514.6398997841,34210.6617388765,NA,"colder_escape",13049.8835028102,71574.8062329339,42886.9668626081,3.21178377789323e-14
