"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",9845.13518283499,10160.3170290428,8694.26070923397,NA,"warmer_total",9304.40005185308,10225.0243929875,10165.1020344854,4489.66730761175,"warmer_total",9702.02625579899,10096.7259798323,9950.36465391898,7964.89201882397,"warmer_total",9720.88026687052,10282.2982896985,9710.44339950172,8042.9685370055
"warmer_escape",8226.01619235622,7404.79652048525,2199.26563603713,NA,"warmer_escape",6945.21534518944,8539.19238879519,5015.18178796835,638.886347388725,"warmer_escape",6607.15109243264,8702.07194443209,6033.99092921316,1755.265184649,"warmer_escape",5865.06167970674,8970.09423279259,6705.20096692245,2757.31616022291
"colder_total",10102.4847758999,10289.1912353451,1848.70849012147,NA,"colder_total",9780.39260819841,10278.9726561228,8617.02132979036,NA,"colder_total",9801.22843088548,9978.89097358636,10125.485876986,1885.7828706866,"colder_total",9765.56225523783,10054.3877089914,9908.43286837102,5221.80491663582
"colder_escape",9405.49376651597,6305.71713629098,273.2523847963,NA,"colder_escape",8760.31201653316,8349.49064914988,2560.46367557058,NA,"colder_escape",8457.84324381948,8681.77600447176,4334.1706854602,168.449047961549,"colder_escape",7917.30644480892,9103.61740979962,5593.86845474685,915.128813906869
