"ClimateGroup","CountyGroup","gen_1","gen_2","gen_3","gen_4"
"warmer","Historical",213,166,191,213
"warmer","2040's",205,151,177,203
"warmer","2060's",199,145,170,195
"warmer","2080's",198,136,163,188
"colder","Historical",214,178,202,214
"colder","2040's",211,164,189,210
"colder","2060's",207,157,181,204
"colder","2080's",207,148,176,198
