"ClimateGroup","CountyGroup","gen_1","gen_2","gen_3","gen_4"
"warmer","Historical",213,166,191,213
"warmer","2040's",205,153,180,205
"warmer","2060's",199,149,177,199
"warmer","2080's",198,146,175,198
"colder","Historical",214,178,202,214
"colder","2040's",211,166,193,211
"colder","2060's",207,161,189,207
"colder","2080's",207,159,186,207
