"ClimateGroup","CountyGroup","gen_1","gen_2","gen_3","gen_4"
"warmer","Historical",149,179,204,205
"warmer","2040's",137,165,193,199
"warmer","2060's",133,163,187,197
"warmer","2080's",130,161,186,196
"colder","Historical",161,190,210,210
"colder","2040's",150,179,202,204
"colder","2060's",146,175,198,201
"colder","2080's",143,174,196,201
