"city","lat","long"
"Omak",48.40625,-119.53125
"Wenatchee",47.40625,-120.34375
"Richland",46.28125,-119.34375
"Hillsboro",45.53125,-122.90625
"Hood River",45.71875,-121.53125
"Corvallis",44.59375,-123.28125
"Eugene",44.03125,-123.09375
"Salem",44.96875,-123.03125
"Walla Walla",46.03125,-118.34375
"Yakima",46.59375,-120.53125
