"lat","long"
46.03125,-114.15625
46.34375,-114.15625
46.65625,-114.03125
47.28125,-114.03125
47.34375,-114.71875
47.65625,-114.09375
47.71875,-114.15625
47.90625,-114.34375
47.90625,-114.21875
47.90625,-114.03125
47.96875,-114.03125
48.09375,-114.59375
48.09375,-114.09375
48.15625,-114.46875
48.15625,-114.28125
48.15625,-113.78125
