"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",15113.8091967587,50151.9085536096,30742.7791334884,NA,"warmer_total",14493.2875088254,42976.8434671661,74598.2100342791,13233.0591236415,"warmer_total",14712.4106774906,35039.189585777,76883.7364406107,37842.7037291421,"warmer_total",14272.5752590949,27219.9158012717,66382.7818420294,57285.9942809034
"warmer_escape",8680.98236218708,19728.5937368087,1482.62113808774,NA,"warmer_escape",6417.29477166777,23322.9234383813,12443.8212979138,92.1338973434603,"warmer_escape",5249.99317736528,21051.7997286654,19131.5324046303,1269.70163624229,"warmer_escape",3809.54249511884,17176.0440415398,21987.7878294551,4203.18351321878
"colder_total",14977.6394754321,53950.2352432458,7838.84029001847,NA,"colder_total",15129.4636030152,67348.9555793876,54958.6600340846,NA,"colder_total",15015.7885915173,65158.3787265153,99562.0736040177,9298.3199320989,"colder_total",14302.9447011513,58598.157606896,130604.81128625,41024.0961297534
"colder_escape",11776.0656899825,15871.694856236,41.2218397774191,NA,"colder_escape",10928.4799308582,34869.0304289174,4253.77745180862,NA,"colder_escape",9893.71709869917,40083.2196665567,14554.3151698588,-6.04392985410978e-16,"colder_escape",8107.34702380966,40779.2185500977,29261.0248706013,667.34128518676
