"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",14621.2127144404,30013.504604144,9992.80762464538,NA,"warmer_total",13913.730799308,21492.4604704895,23491.4534578751,2186.45109476545,"warmer_total",14221.5313403229,15272.3228528186,21693.1112052117,5668.69237519026,"warmer_total",13941.9172611857,10004.9944165379,16023.6819892498,7636.17215401808
"warmer_escape",5281.99658983627,5906.60439574238,54.6782259856673,NA,"warmer_escape",3290.84930466388,7101.03859591434,1160.28403536672,5.32299443708795e-15,"warmer_escape",2372.59054218666,5927.30289273079,2058.59722328253,2.17811131314575,"warmer_escape",1449.35357967899,4203.52419209405,2380.20772622173,68.4133197219472
"colder_total",14637.5371407069,42019.7521055866,3429.82344573644,NA,"colder_total",14569.8122955299,47757.454709634,25590.6422117407,NA,"colder_total",14380.6257910002,42572.5013663374,46254.8202159278,2638.13388041471,"colder_total",13777.5984529178,34723.8151291595,57479.3481578071,10974.6783966977
"colder_escape",9343.84536663232,5686.88014700155,-7.52981837338732e-15,NA,"colder_escape",8061.0854094755,15293.0863408907,393.895880794587,NA,"colder_escape",6817.96164210048,17937.1047928317,2077.94627649143,-7.76369949193055e-16,"colder_escape",5095.85363671212,17909.9458110221,4886.49469149954,1.58783907769572e-14
