OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
71,1d071209,05/06/2003 11:30:00 AM,Tuesday,May,6,2003,11,3,30,2007,GRAND LARCENY,FELONY,P,73,BROOKLYN,N.Y. POLICE DEPT,1008239,178970,"(40.6578837220001, -73.913540855)"
72,cad64745,09/07/2003 03:00:00 PM,Sunday,Sep,7,2003,15,9,16,2006,GRAND LARCENY,FELONY,H,70,BROOKLYN,N.Y. POLICE DEPT,995849,172757,"(40.64085528, -73.958207273)"
73,544f502b,10/13/2003 09:30:00 PM,Monday,Oct,13,2003,21,10,14,2006,GRAND LARCENY,FELONY,H,13,MANHATTAN,N.Y. POLICE DEPT,985927,209362,"(40.741335006, -73.993949675)"
74,7a15ac53,10/15/2003 12:01:00 AM,Wednesday,Oct,15,2003,0,6,24,2011,GRAND LARCENY,FELONY,C,43,BRONX,N.Y. POLICE DEPT,1021465,239891,"(40.825050768, -73.865535037)"
75,31fb7f4e,10/15/2003 09:00:00 AM,Wednesday,Oct,15,2003,9,2,17,2006,GRAND LARCENY,FELONY,B,26,MANHATTAN,N.Y. POLICE DEPT,993315,233103,"(40.806493351, -73.9672566519999)"
76,3428927a,11/19/2003 12:00:00 AM,Wednesday,Nov,19,2003,0,9,12,2008,GRAND LARCENY,FELONY,H,77,BROOKLYN,N.Y. POLICE DEPT,999689,185633,"(40.676191208, -73.944341295)"
77,d1ff459e,11/21/2003 08:00:00 AM,Friday,Nov,21,2003,8,10,10,2007,GRAND LARCENY,FELONY,D,72,BROOKLYN,N.Y. POLICE DEPT,978878,174302,"(40.645101937, -74.0193593669999)"
78,a16ad06d,12/09/2003 12:01:00 AM,Tuesday,Dec,9,2003,0,3,27,2007,GRAND LARCENY,FELONY,C,114,QUEENS,N.Y. POLICE DEPT,1006222,214547,"(40.7555393910001, -73.9206943899999)"
79,3c2cac90,01/09/2004 12:00:00 PM,Friday,Jan,9,2004,12,4,8,2009,GRAND LARCENY,FELONY,F,1,MANHATTAN,N.Y. POLICE DEPT,979906,199601,"(40.714542529, -74.0156712949999)"
80,a20d0dcc,01/10/2004 09:00:00 AM,Saturday,Jan,10,2004,9,9,10,2006,FELONY ASSAULT,FELONY,B,9,MANHATTAN,N.Y. POLICE DEPT,990577,204879,"(40.729028172, -73.977173481)"
81,47bb2008,01/10/2004 08:00:00 PM,Saturday,Jan,10,2004,20,2,24,2009,RAPE,FELONY,H,79,BROOKLYN,N.Y. HOUSING POLICE,999634,190253,"(40.688872153, -73.9445290319999)"
82,f760d4c9,02/11/2004 10:45:00 AM,Wednesday,Feb,11,2004,10,2,11,2014,GRAND LARCENY,FELONY,A,26,MANHATTAN,N.Y. TRANSIT POLICE,997374,234664,"(40.8107727670001, -73.9525915899999)"
83,9d3eeb72,03/23/2004 01:00:00 PM,Tuesday,Mar,23,2004,13,3,11,2009,GRAND LARCENY,FELONY,B,19,MANHATTAN,N.Y. POLICE DEPT,993602,220583,"(40.772129009, -73.966237373)"
84,b17c6e08,03/23/2004 04:00:00 PM,Tuesday,Mar,23,2004,16,3,24,2008,GRAND LARCENY OF MOTOR VEHICLE,FELONY,K,66,BROOKLYN,N.Y. POLICE DEPT,988430,173699,"(40.6434474760001, -73.984939246)"
85,8ca9eb1d,04/20/2004 05:30:00 PM,Tuesday,Apr,20,2004,17,4,21,2007,RAPE,FELONY,E,62,BROOKLYN,N.Y. POLICE DEPT,983393,158818,"(40.602603179, -74.0030876609999)"
86,6eb8c449,05/06/2004 08:00:00 AM,Thursday,May,6,2004,8,6,27,2006,GRAND LARCENY,FELONY,G,77,BROOKLYN,N.Y. POLICE DEPT,998807,184084,"(40.671941046, -73.947524395)"
87,41cc5c7,06/27/2004 12:01:00 AM,Sunday,Jun,27,2004,0,1,12,2007,GRAND LARCENY,FELONY,G,43,BRONX,N.Y. POLICE DEPT,1024389,241131,"(40.8284414080001, -73.8549625479999)"
88,30de958a,07/21/2004 12:01:00 AM,Wednesday,Jul,21,2004,0,3,14,2006,GRAND LARCENY,FELONY,Q,122,STATEN ISLAND,N.Y. POLICE DEPT,931202,154234,"(40.589862313, -74.191001157)"
89,18df2f37,07/21/2004 12:00:00 PM,Wednesday,Jul,21,2004,12,8,21,2006,GRAND LARCENY,FELONY,6,62,BROOKLYN,N.Y. POLICE DEPT,986543,157612,"(40.5992926980001, -73.991744317)"
90,1344b8ca,07/25/2004 12:01:00 AM,Sunday,Jul,25,2004,0,11,30,2006,GRAND LARCENY,FELONY,,102,QUEENS,N.Y. POLICE DEPT,1025885,191779,"(40.6929761100001, -73.849862531)"
91,43b044d,07/30/2004 12:00:00 PM,Friday,Jul,30,2004,12,7,25,2008,GRAND LARCENY,FELONY,N,67,BROOKLYN,N.Y. POLICE DEPT,1004691,179195,"(40.658510198, -73.926327784)"
92,1762a889,07/30/2004 03:30:00 PM,Friday,Jul,30,2004,15,11,6,2007,GRAND LARCENY,FELONY,J,75,BROOKLYN,N.Y. POLICE DEPT,1015238,180730,"(40.6626928050001, -73.88830716)"
93,fee13f9c,08/06/2004 01:00:00 PM,Friday,Aug,6,2004,13,1,12,2007,GRAND LARCENY,FELONY,K,47,BRONX,N.Y. POLICE DEPT,1029795,262068,"(40.885880892, -73.835286211)"
94,1468b986,10/13/2004 09:00:00 AM,Wednesday,Oct,13,2004,9,2,15,2008,GRAND LARCENY,FELONY,F,69,BROOKLYN,N.Y. POLICE DEPT,1016056,171756,"(40.6380582400001, -73.88540105)"
95,7474595,10/15/2004 12:00:00 AM,Friday,Oct,15,2004,0,6,14,2007,GRAND LARCENY,FELONY,D,104,QUEENS,N.Y. POLICE DEPT,1013047,196099,"(40.7048845790001, -73.896138792)"
96,af833860,10/15/2004 12:01:00 AM,Friday,Oct,15,2004,0,4,5,2006,GRAND LARCENY,FELONY,C,122,STATEN ISLAND,OTHER,953027,146211,"(40.5679445260001, -74.112383138)"
97,fb9c86c8,10/15/2004 12:01:00 AM,Friday,Oct,15,2004,0,8,6,2007,GRAND LARCENY,FELONY,C,72,BROOKLYN,N.Y. POLICE DEPT,984854,180522,"(40.662176092, -73.997824381)"
98,215470b8,10/15/2004 12:01:00 AM,Friday,Oct,15,2004,0,6,19,2006,GRAND LARCENY,FELONY,C,24,MANHATTAN,N.Y. POLICE DEPT,992656,228936,"(40.7950567250001, -73.969642323)"
99,7a9e8ff,10/15/2004 12:00:00 PM,Friday,Oct,15,2004,12,6,13,2008,GRAND LARCENY,FELONY,D,115,QUEENS,N.Y. POLICE DEPT,1016787,217460,"(40.7635022590001, -73.882546384)"
100,a9953385,10/15/2004 04:30:00 PM,Friday,Oct,15,2004,16,7,24,2006,RAPE,FELONY,T,44,BRONX,N.Y. POLICE DEPT,1006434,244344,"(40.8373235110001, -73.9198307569999)"
101,6a8fd26a,11/17/2004 08:00:00 AM,Wednesday,Nov,17,2004,8,2,13,2006,GRAND LARCENY,FELONY,,101,QUEENS,N.Y. POLICE DEPT,1051002,158131,"(40.600466161, -73.759622086)"
102,6077726e,11/17/2004 04:19:00 PM,Wednesday,Nov,17,2004,16,11,6,2009,GRAND LARCENY,FELONY,J,52,BRONX,N.Y. POLICE DEPT,1016153,256549,"(40.870792818, -73.884649242)"
103,6b53fd96,11/19/2004 12:00:00 AM,Friday,Nov,19,2004,0,8,28,2006,GRAND LARCENY,FELONY,H,115,QUEENS,N.Y. POLICE DEPT,1018699,215043,"(40.756860977, -73.875656664)"
104,995e60e2,11/19/2004 09:00:00 AM,Friday,Nov,19,2004,9,9,15,2007,GRAND LARCENY,FELONY,C,114,QUEENS,N.Y. POLICE DEPT,1006222,214547,"(40.7555393910001, -73.9206943899999)"
105,d6b96f0c,11/19/2004 09:00:00 AM,Friday,Nov,19,2004,9,1,23,2007,GRAND LARCENY,FELONY,M,46,BRONX,N.Y. POLICE DEPT,1005905,248764,"(40.8494564280001, -73.921728235)"
106,9ade0343,11/19/2004 11:00:00 AM,Friday,Nov,19,2004,11,2,26,2009,GRAND LARCENY,FELONY,D,111,QUEENS,N.Y. POLICE DEPT,1044997,210906,"(40.7453644230001, -73.78077086)"
107,94056243,11/21/2004 11:00:00 AM,Sunday,Nov,21,2004,11,11,21,2007,GRAND LARCENY,FELONY,C,43,BRONX,N.Y. POLICE DEPT,1018078,238990,"(40.8225914020001, -73.8777775789999)"
108,2ad577b9,11/25/2004 10:00:00 AM,Thursday,Nov,25,2004,10,3,17,2009,GRAND LARCENY,FELONY,A,5,MANHATTAN,N.Y. POLICE DEPT,985491,198486,"(40.7114830990001, -73.995525067)"
109,c9dc7095,11/25/2004 06:00:00 PM,Thursday,Nov,25,2004,18,12,4,2007,RAPE,FELONY,H,44,BRONX,N.Y. POLICE DEPT,1006434,244344,"(40.8373235110001, -73.9198307569999)"
110,b60c9724,12/09/2004 09:00:00 AM,Thursday,Dec,9,2004,9,1,3,2008,GRAND LARCENY,FELONY,F,24,MANHATTAN,N.Y. POLICE DEPT,993113,230778,"(40.800112068, -73.967989389)"
111,dc661920,01/09/2005 12:00:00 AM,Sunday,Jan,9,2005,0,5,10,2006,GRAND LARCENY,FELONY,H,70,BROOKLYN,N.Y. POLICE DEPT,995849,172757,"(40.64085528, -73.958207273)"
112,853a2d78,01/09/2005 12:01:00 AM,Sunday,Jan,9,2005,0,4,28,2006,GRAND LARCENY,FELONY,G,70,BROOKLYN,N.Y. POLICE DEPT,998880,170275,"(40.6340382320001, -73.947291187)"
113,c8c88d8d,01/09/2005 08:00:00 AM,Sunday,Jan,9,2005,8,1,23,2006,GRAND LARCENY,FELONY,G,13,MANHATTAN,N.Y. POLICE DEPT,986464,208227,"(40.738219595, -73.992012181)"
114,321934b8,01/09/2005 09:00:00 AM,Sunday,Jan,9,2005,9,1,3,2006,GRAND LARCENY,FELONY,F,88,BROOKLYN,N.Y. POLICE DEPT,992195,190879,"(40.690600181, -73.9713522179999)"
115,90cc62bb,01/09/2005 12:15:00 PM,Sunday,Jan,9,2005,12,1,9,2006,ROBBERY,FELONY,G,73,BROOKLYN,N.Y. POLICE DEPT,1008625,183197,"(40.6694848440001, -73.912134362)"
116,ec64b4d,01/09/2005 01:20:00 PM,Sunday,Jan,9,2005,13,1,9,2006,GRAND LARCENY,FELONY,I,104,QUEENS,N.Y. POLICE DEPT,1009418,199467,"(40.7141400030001, -73.909214973)"
117,5ed924d5,01/09/2005 07:00:00 PM,Sunday,Jan,9,2005,19,1,10,2006,GRAND LARCENY,FELONY,F,47,BRONX,N.Y. POLICE DEPT,1025312,261118,"(40.883295441, -73.851504945)"
118,5c5e99d8,01/09/2005 09:15:00 PM,Sunday,Jan,9,2005,21,1,9,2006,GRAND LARCENY,FELONY,C,9,MANHATTAN,N.Y. POLICE DEPT,988696,203586,"(40.725480346, -73.983961028)"
119,70e0e7d8,01/10/2005 09:00:00 AM,Monday,Jan,10,2005,9,10,18,2007,GRAND LARCENY,FELONY,B,68,BROOKLYN,N.Y. POLICE DEPT,979819,166792,"(40.6244891010001, -74.0159635539999)"
120,de484a2e,01/10/2005 12:00:00 PM,Monday,Jan,10,2005,12,2,16,2006,GRAND LARCENY,FELONY,G,45,BRONX,N.Y. POLICE DEPT,1030226,250326,"(40.8536505060001, -73.8338080519999)"
