"shift","85_Larva_Aug_2080","85_Adult_Aug_2080","85_Larva_Nov_2080","85_Adult_Nov_2080"
"0",2.6,2.91,3.56,3.87
"0.01",2.52,2.85,3.44,3.78
"0.02",2.44,2.78,3.35,3.68
"0.03",2.37,2.7,3.27,3.57
"0.04",2.31,2.62,3.21,3.47
"0.05",2.26,2.55,3.16,3.38
"0.06",2.21,2.48,3.12,3.3
"0.07",2.17,2.42,3.09,3.23
"0.08",2.14,2.36,3.06,3.18
"0.09",2.12,2.31,3.04,3.14
"0.1",2.1,2.26,3.01,3.11
"0.11",2.08,2.22,2.97,3.08
"0.12",2.06,2.19,2.92,3.06
"0.13",2.05,2.16,2.86,3.04
"0.14",2.04,2.13,2.8,3.01
"0.15",2.03,2.11,2.72,2.98
"0.16",2.01,2.09,2.65,2.94
"0.17",1.99,2.08,2.58,2.89
"0.18",1.97,2.07,2.5,2.83
"0.19",1.94,2.05,2.44,2.77
"0.2",1.91,2.04,2.38,2.71
