"shift","45_Larva_Aug_2060","45_Adult_Aug_2060","45_Larva_Nov_2060","45_Adult_Nov_2060"
"0",2.13,2.33,3.02,3.13
"0.01",2.11,2.28,2.99,3.09
"0.02",2.09,2.24,2.94,3.07
"0.03",2.07,2.2,2.88,3.04
"0.04",2.05,2.16,2.81,3.01
"0.05",2.04,2.14,2.73,2.98
"0.06",2.03,2.11,2.65,2.94
"0.07",2.01,2.09,2.57,2.88
"0.08",1.99,2.08,2.49,2.82
"0.09",1.96,2.06,2.42,2.75
"0.1",1.93,2.05,2.36,2.68
"0.11",1.89,2.04,2.3,2.61
"0.12",1.85,2.03,2.25,2.54
"0.13",1.8,2.02,2.21,2.48
"0.14",1.75,2,2.18,2.42
"0.15",1.69,1.98,2.15,2.36
"0.16",1.64,1.96,2.12,2.31
"0.17",1.58,1.93,2.1,2.27
"0.18",1.53,1.9,2.08,2.23
"0.19",1.48,1.86,2.07,2.2
"0.2",1.43,1.83,2.06,2.17
