"shift","45_Larva_Aug_2080","45_Adult_Aug_2080","45_Larva_Nov_2080","45_Adult_Nov_2080"
"0",2.77,3,3.72,3.96
"0.01",2.69,2.96,3.6,3.9
"0.02",2.6,2.91,3.49,3.82
"0.03",2.52,2.84,3.39,3.72
"0.04",2.44,2.78,3.3,3.62
"0.05",2.37,2.7,3.23,3.51
"0.06",2.31,2.63,3.18,3.42
"0.07",2.26,2.56,3.13,3.33
"0.08",2.22,2.49,3.1,3.26
"0.09",2.18,2.42,3.07,3.21
"0.1",2.15,2.36,3.05,3.16
"0.11",2.12,2.31,3.02,3.13
"0.12",2.1,2.27,2.99,3.1
"0.13",2.08,2.23,2.95,3.07
"0.14",2.07,2.19,2.9,3.05
"0.15",2.05,2.16,2.84,3.03
"0.16",2.04,2.14,2.77,3
"0.17",2.03,2.12,2.7,2.96
"0.18",2.01,2.1,2.62,2.92
"0.19",2,2.08,2.55,2.87
"0.2",1.98,2.07,2.48,2.81
