"location","fips","st_county"
"37.90625_-120.84375",6099,"CA_Stanislaus "
"37.90625_-120.90625",6099,"CA_Stanislaus "
"37.90625_-120.96875",6077,"CA_San Joaquin "
"37.90625_-121.03125",6077,"CA_San Joaquin "
"37.90625_-121.09375",6077,"CA_San Joaquin "
"37.90625_-121.15625",6077,"CA_San Joaquin "
"37.90625_-121.21875",6077,"CA_San Joaquin "
"37.90625_-121.28125",6077,"CA_San Joaquin "
"37.90625_-121.34375",6077,"CA_San Joaquin "
"37.90625_-121.40625",6077,"CA_San Joaquin "
"37.96875_-120.96875",6077,"CA_San Joaquin "
"37.96875_-121.03125",6077,"CA_San Joaquin "
"37.96875_-121.09375",6077,"CA_San Joaquin "
"37.96875_-121.15625",6077,"CA_San Joaquin "
"37.96875_-121.21875",6077,"CA_San Joaquin "
"37.96875_-121.40625",6077,"CA_San Joaquin "
"37.96875_-121.46875",6077,"CA_San Joaquin "
"38.03125_-120.96875",6077,"CA_San Joaquin "
"38.03125_-121.03125",6077,"CA_San Joaquin "
"38.03125_-121.09375",6077,"CA_San Joaquin "
"38.03125_-121.15625",6077,"CA_San Joaquin "
"38.03125_-121.21875",6077,"CA_San Joaquin "
"38.03125_-121.28125",6077,"CA_San Joaquin "
"38.03125_-121.34375",6077,"CA_San Joaquin "
"38.03125_-121.40625",6077,"CA_San Joaquin "
"38.03125_-121.46875",6077,"CA_San Joaquin "
"38.03125_-121.53125",6077,"CA_San Joaquin "
"38.09375_-120.90625",6009,"CA_Calaveras "
"38.09375_-120.96875",6077,"CA_San Joaquin "
"38.09375_-121.03125",6077,"CA_San Joaquin "
"38.09375_-121.09375",6077,"CA_San Joaquin "
"38.09375_-121.15625",6077,"CA_San Joaquin "
"38.09375_-121.21875",6077,"CA_San Joaquin "
"38.09375_-121.28125",6077,"CA_San Joaquin "
"38.09375_-121.34375",6077,"CA_San Joaquin "
"38.09375_-121.40625",6077,"CA_San Joaquin "
"38.09375_-121.46875",6077,"CA_San Joaquin "
"38.15625_-121.09375",6077,"CA_San Joaquin "
"38.15625_-121.15625",6077,"CA_San Joaquin "
"38.15625_-121.21875",6077,"CA_San Joaquin "
"38.15625_-121.28125",6077,"CA_San Joaquin "
"38.15625_-121.34375",6077,"CA_San Joaquin "
"38.15625_-121.40625",6077,"CA_San Joaquin "
"38.15625_-121.46875",6077,"CA_San Joaquin "
"38.15625_-121.59375",6067,"CA_Sacramento "
"38.21875_-121.03125",6077,"CA_San Joaquin "
