"location","fips","st_county"
"46.59375_-119.21875",53021,"WA_Franklin "
"46.59375_-119.28125",53021,"WA_Franklin "
"46.59375_-119.78125",53005,"WA_Benton "
"46.59375_-120.34375",53077,"WA_Yakima "
"46.59375_-120.40625",53077,"WA_Yakima "
"46.59375_-120.59375",53077,"WA_Yakima "
"46.59375_-120.65625",53077,"WA_Yakima "
"46.59375_-120.71875",53077,"WA_Yakima "
"46.59375_-120.78125",53077,"WA_Yakima "
"46.65625_-119.15625",53021,"WA_Franklin "
"46.65625_-119.21875",53021,"WA_Franklin "
"46.65625_-119.28125",53021,"WA_Franklin "
"46.65625_-119.78125",53025,"WA_Grant "
"46.65625_-119.84375",53025,"WA_Grant "
"46.65625_-119.90625",53025,"WA_Grant "
"46.65625_-120.53125",53077,"WA_Yakima "
"46.65625_-120.59375",53077,"WA_Yakima "
"46.65625_-120.65625",53077,"WA_Yakima "
"46.65625_-120.71875",53077,"WA_Yakima "
"46.65625_-120.78125",53077,"WA_Yakima "
"46.71875_-119.03125",53021,"WA_Franklin "
"46.71875_-119.09375",53021,"WA_Franklin "
"46.71875_-119.15625",53021,"WA_Franklin "
"46.71875_-119.21875",53021,"WA_Franklin "
"46.71875_-119.28125",53021,"WA_Franklin "
"46.71875_-119.65625",53025,"WA_Grant "
"46.71875_-119.71875",53025,"WA_Grant "
"46.71875_-119.78125",53025,"WA_Grant "
"46.71875_-119.84375",53025,"WA_Grant "
"46.71875_-119.90625",53025,"WA_Grant "
"46.71875_-120.46875",53077,"WA_Yakima "
"46.71875_-120.53125",53077,"WA_Yakima "
"46.71875_-120.59375",53077,"WA_Yakima "
"46.71875_-120.65625",53077,"WA_Yakima "
"46.71875_-120.71875",53077,"WA_Yakima "
"46.71875_-120.78125",53077,"WA_Yakima "
"46.78125_-119.21875",53001,"WA_Adams "
"46.78125_-119.28125",53001,"WA_Adams "
"46.78125_-119.34375",53001,"WA_Adams "
"46.78125_-119.59375",53025,"WA_Grant "
"46.78125_-119.65625",53025,"WA_Grant "
"46.78125_-119.71875",53025,"WA_Grant "
"46.78125_-119.84375",53025,"WA_Grant "
"46.78125_-119.90625",53025,"WA_Grant "
"46.78125_-119.96875",53037,"WA_Kittitas "
"46.78125_-120.40625",53037,"WA_Kittitas "
"46.84375_-119.40625",53025,"WA_Grant "
"46.84375_-119.78125",53025,"WA_Grant "
"46.84375_-119.90625",53025,"WA_Grant "
"46.84375_-119.96875",53037,"WA_Kittitas "
"46.90625_-119.34375",53001,"WA_Adams "
"46.90625_-119.40625",53025,"WA_Grant "
"46.90625_-119.46875",53025,"WA_Grant "
"46.90625_-119.53125",53025,"WA_Grant "
"46.90625_-119.59375",53025,"WA_Grant "
"46.90625_-119.65625",53025,"WA_Grant "
"46.90625_-119.78125",53025,"WA_Grant "
"46.90625_-119.84375",53025,"WA_Grant "
"46.90625_-120.40625",53037,"WA_Kittitas "
"46.90625_-120.46875",53037,"WA_Kittitas "
"46.96875_-119.34375",53025,"WA_Grant "
"46.96875_-119.40625",53025,"WA_Grant "
"46.96875_-119.46875",53025,"WA_Grant "
"46.96875_-119.53125",53025,"WA_Grant "
"46.96875_-119.59375",53025,"WA_Grant "
"46.96875_-119.65625",53025,"WA_Grant "
"46.96875_-119.71875",53025,"WA_Grant "
"46.96875_-119.78125",53025,"WA_Grant "
"46.96875_-119.84375",53025,"WA_Grant "
"46.96875_-119.90625",53025,"WA_Grant "
"47.03125_-119.84375",53025,"WA_Grant "
"47.03125_-119.90625",53025,"WA_Grant "
"47.09375_-119.96875",53025,"WA_Grant "
"47.15625_-119.53125",53025,"WA_Grant "
"47.15625_-119.59375",53025,"WA_Grant "
"47.15625_-119.65625",53025,"WA_Grant "
"47.15625_-119.84375",53025,"WA_Grant "
"47.15625_-119.90625",53025,"WA_Grant "
"47.15625_-119.96875",53025,"WA_Grant "
