"location","elevation","state_fips","state","lat","long","biofix"
"36.34375_-119.21875",114.6,"06","CA",36.34375,-119.21875,225.046969726563
"36.34375_-119.28125",106.6,"06","CA",36.34375,-119.28125,225.046969726563
"36.34375_-119.34375",99.2,"06","CA",36.34375,-119.34375,225.046969726563
"36.34375_-119.40625",90.7,"06","CA",36.34375,-119.40625,225.046969726563
"36.34375_-119.46875",83.7,"06","CA",36.34375,-119.46875,225.046969726563
"36.34375_-119.53125",79.4,"06","CA",36.34375,-119.53125,225.046969726563
"36.34375_-119.59375",78.4,"06","CA",36.34375,-119.59375,225.046969726563
"36.34375_-119.65625",76,"06","CA",36.34375,-119.65625,225.046969726563
"36.34375_-119.71875",71.6,"06","CA",36.34375,-119.71875,225.046969726563
"36.34375_-119.78125",68.4,"06","CA",36.34375,-119.78125,225.046969726563
"36.34375_-119.84375",65.2,"06","CA",36.34375,-119.84375,225.046969726563
"36.40625_-119.09375",149.8,"06","CA",36.40625,-119.09375,223.821516601563
"36.40625_-119.15625",134.9,"06","CA",36.40625,-119.15625,223.821516601563
"36.40625_-119.21875",114.1,"06","CA",36.40625,-119.21875,223.821516601563
"36.40625_-119.28125",104.1,"06","CA",36.40625,-119.28125,223.821516601563
"36.40625_-119.34375",96.8,"06","CA",36.40625,-119.34375,223.821516601563
"36.40625_-119.40625",90.7,"06","CA",36.40625,-119.40625,223.821516601563
"36.40625_-119.46875",85.4,"06","CA",36.40625,-119.46875,223.821516601563
"36.40625_-119.53125",83.4,"06","CA",36.40625,-119.53125,223.821516601563
"36.40625_-119.59375",82.3,"06","CA",36.40625,-119.59375,223.821516601563
"36.40625_-119.65625",81.2,"06","CA",36.40625,-119.65625,223.821516601563
"36.40625_-119.71875",76.4,"06","CA",36.40625,-119.71875,223.821516601563
"36.40625_-119.78125",71.5,"06","CA",36.40625,-119.78125,223.821516601563
"36.40625_-119.84375",67.2,"06","CA",36.40625,-119.84375,223.821516601563
"36.40625_-119.90625",62.8,"06","CA",36.40625,-119.90625,223.821516601563
"36.40625_-121.34375",62.1,"06","CA",36.40625,-121.34375,223.821516601563
"36.40625_-121.40625",263.2,"06","CA",36.40625,-121.40625,223.821516601563
"36.46875_-119.15625",175.3,"06","CA",36.46875,-119.15625,222.601883789063
"36.46875_-119.21875",112.4,"06","CA",36.46875,-119.21875,222.601883789063
"36.46875_-119.28125",104.2,"06","CA",36.46875,-119.28125,222.601883789063
"36.46875_-119.34375",97.3,"06","CA",36.46875,-119.34375,222.601883789063
"36.46875_-119.40625",93.4,"06","CA",36.46875,-119.40625,222.601883789063
"36.46875_-119.46875",91.1,"06","CA",36.46875,-119.46875,222.601883789063
