"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",9845.13518283499,10160.3170290428,8694.26070923397,NA,"warmer_total",9304.40005185308,10225.0243929875,10165.1020344854,4489.66730761175,"warmer_total",9702.02625579899,10096.7259798323,9950.36465391898,7964.89201882397,"warmer_total",9720.88026687052,10282.2982896985,9710.44339950172,8042.9685370055
"warmer_escape",6219.44121339452,4853.32309803928,648.861209784158,NA,"warmer_escape",4727.5446435773,6415.94347914024,2373.4317296853,83.2383446677758,"warmer_escape",4146.80759436866,6776.50325945014,3349.40815878895,425.147587770101,"warmer_escape",3318.64944333728,7089.47863120359,4152.16132074867,954.036494790122
"colder_total",10102.4847758999,10289.1912353451,1848.70849012147,NA,"colder_total",9780.39260819841,10278.9726561228,8617.02132979036,NA,"colder_total",9801.22843088548,9978.89097358636,10125.485876986,1885.7828706866,"colder_total",9765.56225523783,10054.3877089914,9908.43286837102,5221.80491663582
"colder_escape",8221.25727875216,3698.99270140465,37.0854059891595,NA,"colder_escape",7325.35090560824,6192.27786986543,880.135136518233,NA,"colder_escape",6795.3697934548,6936.86142090112,1918.94003547378,3.72112079995756,"colder_escape",5969.2647814635,7639.00764651809,2984.82717186731,168.557786146804
