"CountyGroup","Historical_gen_1","Historical_gen_2","Historical_gen_3","Historical_gen_4","CountyGroup.1","X2040.s_gen_1","X2040.s_gen_2","X2040.s_gen_3","X2040.s_gen_4","CountyGroup.2","X2060.s_gen_1","X2060.s_gen_2","X2060.s_gen_3","X2060.s_gen_4","CountyGroup.3","X2080.s_gen_1","X2080.s_gen_2","X2080.s_gen_3","X2080.s_gen_4"
"warmer_total",9845.13518283499,10160.3170290428,8694.26070923397,NA,"warmer_total",9485.38931135805,10262.7496322238,9956.98356237461,3907.59943899787,"warmer_total",9526.09763755196,10234.1370320529,9901.22720367823,5619.85778428931,"warmer_total",9526.89324825212,10373.4542476365,9886.381967655,6801.86111655654
"warmer_escape",6219.44121339452,4853.32309803928,648.861209784158,NA,"warmer_escape",4946.53014059409,6237.14563881268,2036.71620486705,44.006627496081,"warmer_escape",4576.78246130439,6568.91502601798,2582.78248123685,143.877599601191,"warmer_escape",4351.40561583042,6756.48539083705,2774.40647401079,211.51605358079
"colder_total",10102.4847758999,10289.1912353451,1848.70849012147,NA,"colder_total",9742.17862972327,10219.4423073152,7435.51622151688,NA,"colder_total",9626.15884555133,10234.1798163025,9171.02095477061,NA,"colder_total",9694.13387257606,10213.3929574829,10095.6311150058,526.540566255419
"colder_escape",8221.25727875216,3698.99270140465,37.0854059891595,NA,"colder_escape",7421.79779550215,5693.06601183487,621.582884529235,NA,"colder_escape",7001.49439676124,6475.22254929236,1126.32478426957,NA,"colder_escape",6875.65857550867,6669.08399939678,1342.34932873426,0
