ARRAYID,Location
213,data_45.96875_-122.03125
214,data_45.96875_-121.96875
215,data_45.96875_-121.90625
216,data_45.96875_-121.84375
217,data_45.96875_-121.78125
218,data_45.96875_-121.71875
219,data_45.96875_-121.65625
220,data_45.96875_-121.59375
221,data_45.96875_-121.53125
222,data_45.96875_-121.46875
223,data_45.96875_-121.40625
224,data_45.96875_-121.34375
225,data_45.96875_-121.28125
226,data_45.96875_-121.21875
227,data_45.96875_-121.15625
228,data_45.96875_-121.09375
229,data_45.96875_-121.03125
230,data_45.96875_-120.96875
231,data_45.96875_-120.90625
232,data_45.96875_-120.84375
233,data_45.96875_-120.78125
234,data_45.96875_-120.71875
235,data_45.96875_-120.65625
236,data_45.96875_-120.59375
237,data_45.96875_-120.53125
238,data_45.96875_-120.46875
239,data_45.96875_-120.40625
240,data_45.96875_-120.34375
241,data_45.96875_-120.28125
242,data_45.96875_-120.21875
243,data_45.96875_-120.15625
244,data_45.96875_-120.09375
245,data_45.96875_-120.03125
246,data_45.96875_-119.96875
247,data_45.96875_-119.90625
248,data_45.96875_-119.84375
249,data_45.96875_-119.78125
250,data_45.96875_-119.71875
251,data_45.96875_-119.65625
252,data_45.96875_-119.59375
253,data_45.96875_-119.53125
254,data_45.96875_-119.46875
255,data_45.96875_-119.40625
256,data_45.96875_-119.34375
257,data_45.96875_-119.28125
258,data_45.96875_-119.21875
259,data_45.96875_-119.15625
260,data_45.96875_-119.09375
261,data_46.03125_-122.84375
262,data_46.03125_-122.78125
263,data_46.03125_-122.71875
264,data_46.03125_-122.65625
265,data_46.03125_-122.59375
266,data_46.03125_-122.53125
267,data_46.03125_-122.46875
268,data_46.03125_-122.40625
269,data_46.03125_-122.34375
270,data_46.03125_-122.28125
271,data_46.03125_-122.21875
272,data_46.03125_-122.15625
273,data_46.03125_-122.09375
274,data_46.03125_-122.03125
275,data_46.03125_-121.96875
276,data_46.03125_-121.90625
277,data_46.03125_-121.84375
278,data_46.03125_-121.78125
279,data_46.03125_-121.71875
280,data_46.03125_-121.65625
281,data_46.03125_-121.59375
282,data_46.03125_-121.53125
283,data_46.03125_-121.46875
284,data_46.03125_-121.40625
285,data_46.03125_-121.34375
286,data_46.03125_-121.28125
287,data_46.03125_-121.21875
288,data_46.03125_-121.15625
289,data_46.03125_-121.09375
290,data_46.03125_-121.03125
291,data_46.03125_-120.96875
292,data_46.03125_-120.90625
293,data_46.03125_-120.84375
