"lat","long","location","latDiff","longDiff","distance","city"
47.40625,-120.28125,"47.40625_-120.28125",0,0.0625,0.0625,"Wenatchee"
45.59375,-121.65625,"45.59375_-121.65625",0.0625,1.25,1.2515615246563,"Hillsboro"
45.65625,-121.53125,"45.65625_-121.53125",-0.0625,0,0.0625,"Hood River"
45.59375,-121.65625,"45.59375_-121.65625",1,1.625,1.90804219030922,"Corvallis"
45.53125,-121.59375,"45.53125_-121.59375",1.5,1.5,2.12132034355964,"Eugene"
45.59375,-121.65625,"45.59375_-121.65625",0.625,1.375,1.51038074669932,"Salem"
46.09375,-118.78125,"46.09375_-118.78125",0.0625,-0.4375,0.441941738241592,"Walla Walla"
46.53125,-120.53125,"46.53125_-120.53125",-0.0625,0,0.0625,"Yakima"
