"FPU","year","location","model"
20.090300749053,2044,"CAL","noco2"
20.0749688286405,2045,"CAL","noco2"
19.9119655219433,2046,"CAL","noco2"
19.940048632264,2047,"CAL","noco2"
19.7858453840832,2048,"CAL","noco2"
19.6771746827234,2049,"CAL","noco2"
19.6528997350595,2050,"CAL","noco2"
8.05496712268002,2005,"COB","noco2"
8.08943863242317,2006,"COB","noco2"
8.13328409216269,2007,"COB","noco2"
8.17617160424214,2008,"COB","noco2"
8.22744950823536,2009,"COB","noco2"
8.27590741384741,2010,"COB","noco2"
8.33557602318146,2011,"COB","noco2"
8.39464062787597,2012,"COB","noco2"
8.4535486076445,2013,"COB","noco2"
8.50850112869055,2014,"COB","noco2"
8.56603079668607,2015,"COB","noco2"
8.6242765809748,2016,"COB","noco2"
8.68268530201935,2017,"COB","noco2"
8.7410978819137,2018,"COB","noco2"
8.79989065555209,2019,"COB","noco2"
8.8596358195085,2020,"COB","noco2"
8.91362759803529,2021,"COB","noco2"
8.96744902061227,2022,"COB","noco2"
9.02054647512941,2023,"COB","noco2"
9.07283232884831,2024,"COB","noco2"
9.1246410875806,2025,"COB","noco2"
9.17827225143903,2026,"COB","noco2"
9.23295234519325,2027,"COB","noco2"
9.28275469610135,2028,"COB","noco2"
9.33456086813915,2029,"COB","noco2"
9.38316643027846,2030,"COB","noco2"
9.44054802980727,2031,"COB","noco2"
9.49596881282674,2032,"COB","noco2"
9.55009446752918,2033,"COB","noco2"
9.60580659338263,2034,"COB","noco2"
9.6617166934104,2035,"COB","noco2"
9.71735956902208,2036,"COB","noco2"
9.77411716653145,2037,"COB","noco2"
9.82930010283527,2038,"COB","noco2"
9.88380866010707,2039,"COB","noco2"
9.94001168010345,2040,"COB","noco2"
10.0006664292545,2041,"COB","noco2"
10.0636422103954,2042,"COB","noco2"
10.1263344886546,2043,"COB","noco2"
10.1661555879808,2044,"COB","noco2"
10.1942422098282,2045,"COB","noco2"
10.2194331556324,2046,"COB","noco2"
10.2469454373192,2047,"COB","noco2"
10.2723666891401,2048,"COB","noco2"
10.2985312013857,2049,"COB","noco2"
10.3258397906246,2050,"COB","noco2"
4.28625447734674,2005,"COL","noco2"
4.29016180495191,2006,"COL","noco2"
4.29374769111863,2007,"COL","noco2"
4.29735977855021,2008,"COL","noco2"
4.30075466961199,2009,"COL","noco2"
4.30407272030087,2010,"COL","noco2"
4.3097248998506,2011,"COL","noco2"
4.31589231397982,2012,"COL","noco2"
4.32220051766763,2013,"COL","noco2"
4.32822598309709,2014,"COL","noco2"
4.33447992006519,2015,"COL","noco2"
4.34149669670773,2016,"COL","noco2"
4.34852815823624,2017,"COL","noco2"
4.35561051892998,2018,"COL","noco2"
4.36273138186493,2019,"COL","noco2"
4.37026988719222,2020,"COL","noco2"
4.3761080059875,2021,"COL","noco2"
4.38211156379607,2022,"COL","noco2"
4.3881624056033,2023,"COL","noco2"
4.39414479943596,2024,"COL","noco2"
4.39916551849527,2025,"COL","noco2"
4.4038269369353,2026,"COL","noco2"
4.40894508744764,2027,"COL","noco2"
4.41367243933282,2028,"COL","noco2"
4.41892560281531,2029,"COL","noco2"
4.42367697538155,2030,"COL","noco2"
4.42886850662037,2031,"COL","noco2"
4.43383011522715,2032,"COL","noco2"
4.4387824364914,2033,"COL","noco2"
4.44404908225052,2034,"COL","noco2"
4.4493448105315,2035,"COL","noco2"
4.45513287625409,2036,"COL","noco2"
4.46127057049094,2037,"COL","noco2"
4.46731187574514,2038,"COL","noco2"
4.47337243526245,2039,"COL","noco2"
4.47961319637911,2040,"COL","noco2"
4.48517102382017,2041,"COL","noco2"
4.49118651906904,2042,"COL","noco2"
4.49735410906029,2043,"COL","noco2"
4.50332644646636,2044,"COL","noco2"
4.50960261897202,2045,"COL","noco2"
4.51468920779472,2046,"COL","noco2"
4.52045058500592,2047,"COL","noco2"
4.52576822004172,2048,"COL","noco2"
4.53129015730405,2049,"COL","noco2"
4.53714425104701,2050,"COL","noco2"
2.99626727087161,2005,"GBA","noco2"
3.00274836210308,2006,"GBA","noco2"
3.01192871262932,2007,"GBA","noco2"
3.02085021385312,2008,"GBA","noco2"
3.03217210562655,2009,"GBA","noco2"
3.04221357048589,2010,"GBA","noco2"
3.05714091757979,2011,"GBA","noco2"
3.07268974803445,2012,"GBA","noco2"
3.08846415601,2013,"GBA","noco2"
3.10241815989687,2014,"GBA","noco2"
3.1176851531617,2015,"GBA","noco2"
3.13323521552468,2016,"GBA","noco2"
3.14893032924427,2017,"GBA","noco2"
3.1643487273653,2018,"GBA","noco2"
3.17985482847194,2019,"GBA","noco2"
3.19557991802657,2020,"GBA","noco2"
3.21043538888414,2021,"GBA","noco2"
3.22542061308613,2022,"GBA","noco2"
3.24003088003466,2023,"GBA","noco2"
3.25423371296293,2024,"GBA","noco2"
3.2677756175072,2025,"GBA","noco2"
3.28261288636366,2026,"GBA","noco2"
3.29842004770472,2027,"GBA","noco2"
3.31151133097067,2028,"GBA","noco2"
3.32618688999183,2029,"GBA","noco2"
3.33848732011885,2030,"GBA","noco2"
3.35484526339349,2031,"GBA","noco2"
3.37000420632946,2032,"GBA","noco2"
3.38452437874262,2033,"GBA","noco2"
3.39977447458085,2034,"GBA","noco2"
3.4148591471375,2035,"GBA","noco2"
3.42987096257414,2036,"GBA","noco2"
3.44577625131425,2037,"GBA","noco2"
3.46065611121545,2038,"GBA","noco2"
3.47507549135797,2039,"GBA","noco2"
3.49023238415025,2040,"GBA","noco2"
3.50619065388712,2041,"GBA","noco2"
3.52349727775794,2042,"GBA","noco2"
3.54025060108843,2043,"GBA","noco2"
3.54394812323245,2044,"GBA","noco2"
3.54141153970838,2045,"GBA","noco2"
3.53626038003476,2046,"GBA","noco2"
3.53593536885134,2047,"GBA","noco2"
3.5307301681656,2048,"GBA","noco2"
3.52805258994026,2049,"GBA","noco2"
3.52954758705417,2050,"GBA","noco2"
1.30567901199371,2005,"GLA","noco2"
1.30907936906328,2006,"GLA","noco2"
1.31460615438121,2007,"GLA","noco2"
1.32002108443739,2008,"GLA","noco2"
1.32739037553263,2009,"GLA","noco2"
1.33424884432888,2010,"GLA","noco2"
1.34506512337163,2011,"GLA","noco2"
1.35573847937117,2012,"GLA","noco2"
1.36621213363461,2013,"GLA","noco2"
1.37574931043218,2014,"GLA","noco2"
1.38591228069189,2015,"GLA","noco2"
1.39619645360929,2016,"GLA","noco2"
1.40650540504814,2017,"GLA","noco2"
1.41687663762015,2018,"GLA","noco2"
1.42733185319152,2019,"GLA","noco2"
1.43798857113856,2020,"GLA","noco2"
1.44866046603875,2021,"GLA","noco2"
1.45946102833543,2022,"GLA","noco2"
1.4701651852413,2023,"GLA","noco2"
1.48070747251644,2024,"GLA","noco2"
1.49122559741463,2025,"GLA","noco2"
1.50192559923725,2026,"GLA","noco2"
1.51287419585552,2027,"GLA","noco2"
1.52274372892268,2028,"GLA","noco2"
1.53309837404098,2029,"GLA","noco2"
1.54280359363253,2030,"GLA","noco2"
1.55365207184265,2031,"GLA","noco2"
1.56413631286268,2032,"GLA","noco2"
1.57465055128904,2033,"GLA","noco2"
1.58546961209761,2034,"GLA","noco2"
1.59636038173673,2035,"GLA","noco2"
1.60715520108817,2036,"GLA","noco2"
1.61816788228432,2037,"GLA","noco2"
1.62887913062651,2038,"GLA","noco2"
1.63945799267824,2039,"GLA","noco2"
1.65036171127483,2040,"GLA","noco2"
1.66167243425392,2041,"GLA","noco2"
1.67334345234209,2042,"GLA","noco2"
1.68506277972163,2043,"GLA","noco2"
1.6965692536513,2044,"GLA","noco2"
1.7085706800792,2045,"GLA","noco2"
1.72025691219497,2046,"GLA","noco2"
1.73277738999659,2047,"GLA","noco2"
1.74430377315893,2048,"GLA","noco2"
1.7452209502591,2049,"GLA","noco2"
1.70621276000924,2050,"GLA","noco2"
15.9433105946223,2005,"MIS","noco2"
16.004045560408,2006,"MIS","noco2"
16.0650620525074,2007,"MIS","noco2"
16.1267011073147,2008,"MIS","noco2"
16.1885957689323,2009,"MIS","noco2"
16.2502580788035,2010,"MIS","noco2"
16.3124908353688,2011,"MIS","noco2"
16.3766164583581,2012,"MIS","noco2"
16.4418771682551,2013,"MIS","noco2"
16.5064480322014,2014,"MIS","noco2"
16.5727523333699,2015,"MIS","noco2"
16.6159962195197,2016,"MIS","noco2"
16.659375640931,2017,"MIS","noco2"
16.7029083814279,2018,"MIS","noco2"
16.7465957483747,2019,"MIS","noco2"
16.7912749802549,2020,"MIS","noco2"
16.8294709763017,2021,"MIS","noco2"
16.8682041264554,2022,"MIS","noco2"
16.9070180031735,2023,"MIS","noco2"
16.9457005485159,2024,"MIS","noco2"
16.984739920567,2025,"MIS","noco2"
17.0207574080345,2026,"MIS","noco2"
17.0586424843903,2027,"MIS","noco2"
17.0949439764348,2028,"MIS","noco2"
17.1331337382253,2029,"MIS","noco2"
17.1698975653373,2030,"MIS","noco2"
17.2059143948319,2031,"MIS","noco2"
17.241550947926,2032,"MIS","noco2"
17.2771112837504,2033,"MIS","noco2"
17.3138005053542,2034,"MIS","noco2"
17.3506378096318,2035,"MIS","noco2"
