parameters,actual_2_pred_2,actual_2_pred_Not2,actual_Not2_pred_2,actual_Not2_pred_Not2
"[5, 1]",0.0,492.28,0.0,66601.67
"[5, 3]",0.0,492.28,0.0,66601.67
"[7, 3]",0.0,492.28,0.0,66601.67
"[9, 3]",0.0,492.28,0.0,66601.67
