"shift","85_Larva_Aug_2080","85_Adult_Aug_2080","85_Larva_Nov_2080","85_Adult_Nov_2080"
"0",3.1,3.27,4,4
"0.01",3.07,3.21,4,4
"0.02",3.05,3.16,4,4
"0.03",3.02,3.12,4,4
"0.04",2.98,3.09,3.99,4
"0.05",2.94,3.07,3.96,4
"0.06",2.88,3.04,3.9,4
"0.07",2.81,3.01,3.82,3.98
"0.08",2.73,2.98,3.72,3.96
"0.09",2.65,2.94,3.61,3.91
"0.1",2.57,2.89,3.5,3.83
"0.11",2.5,2.83,3.41,3.74
"0.12",2.43,2.76,3.32,3.65
"0.13",2.37,2.69,3.26,3.55
"0.14",2.31,2.62,3.2,3.46
"0.15",2.26,2.56,3.15,3.37
"0.16",2.22,2.49,3.12,3.3
"0.17",2.18,2.43,3.09,3.24
"0.18",2.15,2.38,3.07,3.19
"0.19",2.13,2.33,3.04,3.15
"0.2",2.11,2.28,3.02,3.12
