"shift","45_Larva_Aug_2080","45_Adult_Aug_2080","45_Larva_Nov_2080","45_Adult_Nov_2080"
"0",2.15,2.37,3.04,3.15
"0.01",2.12,2.31,3.01,3.11
"0.02",2.1,2.26,2.97,3.08
"0.03",2.08,2.22,2.91,3.06
"0.04",2.06,2.18,2.85,3.03
"0.05",2.05,2.15,2.77,3
"0.06",2.03,2.13,2.69,2.96
"0.07",2.02,2.1,2.61,2.91
"0.08",2,2.09,2.53,2.86
"0.09",1.98,2.07,2.46,2.79
"0.1",1.95,2.06,2.39,2.72
"0.11",1.92,2.05,2.33,2.65
"0.12",1.87,2.04,2.28,2.58
"0.13",1.83,2.02,2.23,2.51
"0.14",1.78,2.01,2.19,2.45
"0.15",1.73,1.99,2.16,2.39
"0.16",1.67,1.97,2.13,2.34
"0.17",1.62,1.95,2.11,2.29
"0.18",1.56,1.92,2.09,2.25
"0.19",1.51,1.89,2.08,2.22
"0.2",1.46,1.85,2.06,2.18
