"shift","45_Larva_Aug_2040","45_Adult_Aug_2040","45_Larva_Nov_2040","45_Adult_Nov_2040"
"0",2.05,2.16,2.81,3.01
"0.01",2.04,2.14,2.73,2.98
"0.02",2.03,2.11,2.64,2.93
"0.03",2.01,2.09,2.56,2.88
"0.04",1.99,2.08,2.48,2.81
"0.05",1.96,2.06,2.41,2.74
"0.06",1.92,2.05,2.34,2.67
"0.07",1.88,2.04,2.29,2.59
"0.08",1.83,2.03,2.24,2.52
"0.09",1.78,2.01,2.2,2.46
"0.1",1.73,1.99,2.16,2.4
"0.11",1.67,1.97,2.14,2.34
"0.12",1.61,1.95,2.11,2.29
"0.13",1.56,1.92,2.09,2.25
"0.14",1.5,1.88,2.08,2.21
"0.15",1.45,1.84,2.06,2.18
"0.16",1.41,1.8,2.05,2.15
"0.17",1.36,1.76,2.04,2.13
"0.18",1.32,1.71,2.02,2.11
"0.19",1.29,1.66,2.01,2.09
"0.2",1.25,1.62,1.99,2.08
