"city","lat","long","location"
"Wenatchee",47.40625,-120.28125,"47.40625_-120.28125"
"Hood River",45.65625,-121.53125,"45.65625_-121.53125"
"Walla Walla",46.09375,-118.78125,"46.09375_-118.78125"
"Yakima",46.53125,-120.53125,"46.53125_-120.53125"
"Omak",48.40625,-119.53125,"48.40625_-119.53125"
"Richland",46.28125,-119.34375,"46.28125_-119.34375"
